게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
12926,[일반],호출벨,규정 위반하는 게시글 발견시 댓글로 제보 부탁,오량인 (211.235) 2025.10.31 16:45:33 스크랩 조회 1058 추천 0 댓글 8,0,1058,2025.10.31 16:45:33,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=12926&page=1
14559,[일반],ㅋㅋㅋㅋㅋㅋ,악마의 편집 ㅈㄴ해서 보기 거북하게 만들겠지 ㅉㅉ - dc official App,오량인 (1.245) 2026.05.30 03:19:13 스크랩 조회 54 추천 1 댓글 1,1,54,2026.05.30 03:19:13,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14559&page=1
14556,[일반],성적 언제 나옴?,나이스 성적 왜 안나오는건가요?,오량인 (14.50) 2026.05.29 10:00:48 스크랩 조회 167 추천 3 댓글 0,3,167,2026.05.29 10:00:48,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14556&page=1
12086,[일반],대신고 마이너 갤러리 글삭 규칙 개정판,"<대마갤 게시글 및 댓글에 대한 삭제 기준 공지> - 대전대신고 마이너 갤러리 이전 주딱(daeshin771)님의 부재로 인해, 오늘 부로 새 주딱을 맡게 된 ㅇㅇ입니다.최근 들어 많이 잠잠해지긴 했지만, 얼마 전까지만 해도 대마갤 내에서 수많은 분탕글, 저격글 등으로 인해 갤분위기가 심각히 흐 gall.dcinside.com 위 규칙을 참고하여 만들었고, 약간의 보완사항 혹은 구체화만 있음 규칙은 추후 수정이 가능하나, 수정할 시 공지글 남길거 수정이 필요하다 생각하는 부분은 얼마든지 이 글 댓글로 남겨주세요 1. 신상 공개/실명 언급 금지(본인정보 포함) 실명이 한글자라도 포함될 경우 전부 삭제(교내/외부 인원 포함) 단순 초성 언급까지는 허용 하나, 명예훼손이라고 판단 되거나 악의적으로 3개 이상 올라올 정도의 떡밥이 굴러갈 경우 글삭 (2번째 기준의 경우 상황봐서 추후 조정 가능) (허나 동아리 홍보글, 회장선거 글 등 교내대회 관련 글의 경우 상황에 따라 떡밥 글 제한 X , 그러나 저격류의 글은 제한 ) 저격글이나 비판글의 경우 열람주의 탭에 작성해주세요!! (열람주의도 내용에 따라 삭제할 수 있으나 웬만하면 삭제 안함) 신상이나 정체를 유추할 수 있는 이미지 등의 파일은 열람주의여도 칼삭 대상 ex1) 'ㅇㅇㅇ 왤케 ㅈ같음?' 등의 제목과 근거없는 내용으로 글이 연속적으로 올라올 경우 컷 ex2) '고2 수1 수행 왤케 ㅈ같음' <-- 내부 내용이 '귀찮다, 빡친다, 까다롭다' 이런 이유가 아니라 시험기간, 활동 및 대회등 일리있는 근거라고 생각되는 글은 패스 2. 완장진 현생 정보 관련 언급 금지 실명, 초성등 모든 정보에 한하여 삭제 대상 <-- 대마갤 완장진 신원이 노출되면 갤러리 자체가 학교의 간섭을 받기 때문 그 예시로 전 파딱 CloudR의 신상이 특정 선생님께 공개되어 관리 감시를 받았다는 등의 루머가 돌았음 <-- 이런 루머 조차 돌지 않게 하기 위해서임 이전까지는 허용했는데, 앞으로는 주딱 파딱의 동아리 등 조금이라도 특정할 수 있는 글/댓글이 작성될 시 삭제하겠습니다 어차피 지금 내 동아리는 어딘지 다들 알거고, 몇몇은 내가 누군지까지도 알테니, 갤러리 내에서 더이상의 완장진의 신원에 대한 유추 및 폭로는 자제해주시면 좋겠습니다 적어도 디시 안에서는 교내 교사 전체의 간섭을 받지 않고 글을 올릴 수 있도록 하기 위함이니까 협조해주시면 감사드리겠습니다 3. 홍보성 글/댓글/링크 금지 타 갤러리 홍보글은 전부 삭제 합니다 그러나 타 갤러리의 스크린샷이나, 언급이 꼭 필요하다고 생각되는 링크라면 냅두겠습니다 ex1) 노트북 사용 관련 질문에 달린 노트북 추천 블로그 링크 <-- 패스 ex2) 의미없는 알리링크 지속적인 도배 <- 컷 학원 홍보글도 마찬가지로 노골적이면 삭제, 아니라면 완장진 판단 하에 냅두겠습니다 ex1) 'ㅇㅇ갤 개쩜 ㅋㅋ 함 가보셈 (link)' <-- 컷 ex2) '이제 입학한 고1 수학학원 어디로 가는게 좋을까요?' 에 달린 '수학 ㅇㅇㅇ 가셈 잘가르치고 분위기 좋음' <-- 패스 ※ 삭제 내역에 위 규칙에 한하여 위반되는 사항이 있는 경우(제목에 실명언급, 홍보 링크 등이 포함되어있는 경우) 삭제 내역을 3일간 비공개 처리할 수 있습니다 이 글은 삭제기준의 개정에 불과하며, 아직 여러분께서 추가하면 좋겠다라고 생각하는 의견을 다 받아들이지 못한 상태 입니다. 추가 요청사항은 이 글의 댓글에 달아주시면 반영 가능한 선에서 수용적 으로 받아들이겠습니다. 반영사항이 생길 즉시 바로 새로운 게시글로 공지 올려드리겠습니다 P. S. 대전대신고 갤러리는 저희 완장진 뿐 아니라 교내 학생 여러분들과 함께 만들어가는 커뮤니티로 거듭나도록 만들고 싶습니다. 현재 고2 수학 수행평가, CIP 등 여러가지 이슈로 인해 대신고 갤러리가 소통의 장이 아닌 비난의 장이 되고 있다고 생각하며, 이 상황이 지속될 경우 대신고 갤러리 자체가 폐쇄될 가능성이 있다고 생각합니다. 대신고 갤러리라는 커뮤니티를 끝내고 싶지 않은 마음이며, 대신고 학생 여러분들도 저와 같은 생각을 가지고 계시다고 믿습니다. 그렇기에, 더욱 더 상호존중하는 커뮤니티가 되었으면 좋겠습니다. 앞으로도 잘 부탁드리며, 저희도 관리에 더욱 힘쓰는 완장진 되도록 하겠습니다!",Ephemeral_ 2025.06.21 23:35:57 스크랩 조회 1745 추천 23 댓글 8,23,1745,2025.06.21 23:35:57,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=12086&page=1
14554,[일반],나 졸업생인데,리빙랩 뭐가 문제인 거냐 깔끔하게 정리좀 해봐라,오량인 (106.101) 2026.05.27 23:56:06 스크랩 조회 393 추천 0 댓글 1,0,393,2026.05.27 23:56:06,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14554&page=1
14558,[일반],감정적으로 수행평가 채점하면,뭐하자는건가 ㅈㅉ,오량인 (112.150) 2026.05.29 21:34:42 스크랩 조회 151 추천 5 댓글 2,5,151,2026.05.29 21:34:42,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14558&page=1
14557,[일반],한사챌 본선 결과,2차결과 5시 에 나왔는데 벌써 들리는 팀만 2팀 붙었다는데ㄷㄷ 둘다 2학년임 이정도면 09 황금세대 아니냐,오량인 (106.101) 2026.05.29 17:23:45 스크랩 조회 153 추천 1 댓글 1,1,153,2026.05.29 17:23:45,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14557&page=1
14555,[일반],약스포(오만추입사지원용포토폴리오2,타츠키 돌아오지마라! 단편이나 만들면서 살으라이! +개추 한번씩만 박고가줘라 잘봐놓고 얼마나 구박을 주는지요,aㅏ 2026.05.29 00:43:14 스크랩 조회 229 추천 15 댓글 2,15,229,2026.05.29 00:43:14,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14555&page=1
14553,[일반],겠노ㅋㅋ,100퍼 틀린말은 아닌데(실제로 걸려서 징계먹은 사례도 있음) 그런건 진짜 뉴스 나올정도로 극소수임 ㅅㅂ 니가 대학 못간거를 학종 탓하고있노ㅋㅋ 아직 고딩인 친구들은 생기부 열심히 채우고 성적이나 잘 받아라.. 그리고 원서 쓸 때 고민 많이하고 여러개 찾아보고 쓰셈. 원서는 담임쌤을 믿지말고 담임쌤이 가진 자료를 믿고 쓰는거다.,ㅇㅇ 2026.05.27 23:47:08 스크랩 조회 339 추천 6 댓글 1,6,339,2026.05.27 23:47:08,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14553&page=1
14552,[일반],학종은 비리의 온상임,명문대 입학사정관들 명문고만 골라서 설명회 가서 찐으로 설명회만 열고 올거라 생각함? 3학년 6월 초쯤에 사정관들 와서 원서 넣고 싶은 2애들 일대일 면담하고 생기부 받아감 그 고등학교에서 무슨 활동하는지도 진학부장이 서울 올라가서 술 사주면서 귀띔해주고. 그러면 관계자가 이번해에 많이 뽑아 줄테니 원서 많이 넣으라 속닥속닥 해주고 연고대 윗라인부턴 안 그러는데 성대 한양대 밑으론 뭐 ㅎ지방 의대도 똑같 좀 있다 펑해야지 - dc official App,오량인 (1.245) 2026.05.27 23:30:03 스크랩 조회 397 추천 6 댓글 2,6,397,2026.05.27 23:30:03,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14552&page=1
