페이지,게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
1,1919,,이사장 개 병1신같으면 민주화 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,이사장 터지는 소리 펑,수갤러 (211.114) 2024.08.16 13:59:35 스크랩 조회 592 추천 11 댓글 1,11,592,2024.08.16 13:59:35,https://gall.dcinside.com/mgallery/board/view/?id=suwon_boys_high&no=1919&page=1
1,1923,,사람 찾음,박ㄱ모 아심? 급함,수갤러 (221.138) 2025.12.26 02:37:07 스크랩 조회 136 추천 0 댓글 1,0,136,2025.12.26 02:37:07,https://gall.dcinside.com/mgallery/board/view/?id=suwon_boys_high&no=1923&page=1
1,1920,,윤-하 좋아하는 애들아,사건의 지평선이 있던 앨범에 이어 윤-하 7집 앨범이 2024년 9월 1일 오후 6시에 발매돼. 알람맞춰놔. - dc official App,윤하팬입니다 2024.08.20 11:32:42 스크랩 조회 441 추천 0 댓글 2,0,441,2024.08.20 11:32:42,https://gall.dcinside.com/mgallery/board/view/?id=suwon_boys_high&no=1920&page=1
1,1918,,영어때문에 개짱나,영어셤 왜그러냐 존나짜증 영어때문에 폭망 수시접고 정시가즈아,수갤러 (223.38) 2024.06.15 20:10:39 스크랩 조회 466 추천 3 댓글 0,3,466,2024.06.15 20:10:39,https://gall.dcinside.com/mgallery/board/view/?id=suwon_boys_high&no=1918&page=1
1,1917,,체육 ㄱㅎㅈ 복귀함?,몇년 전 까지는 뭐 복귀한다 만다 얘기 많던데,수갤러 (14.39) 2024.06.03 14:15:28 스크랩 조회 719 추천 0 댓글 3,0,719,2024.06.03 14:15:28,https://gall.dcinside.com/mgallery/board/view/?id=suwon_boys_high&no=1917&page=1
1,1916,,크록스 허용이예요?,신입생이라잘모름요 - dc official App,ㅇㅇ (211.234) 2024.02.24 16:31:47 스크랩 조회 461 추천 0 댓글 2,0,461,2024.02.24 16:31:47,https://gall.dcinside.com/mgallery/board/view/?id=suwon_boys_high&no=1916&page=1
1,1915,,선배님들 신입생입니다 담임선생님 심언* 선생님인데,어떤분이신가요 - dc official App,ㅇㅇ (222.234) 2024.02.22 14:00:55 스크랩 조회 786 추천 0 댓글 2,0,786,2024.02.22 14:00:55,https://gall.dcinside.com/mgallery/board/view/?id=suwon_boys_high&no=1915&page=1
1,1914,,개틀딱학교,쌤들은 다늙어서 생기부 쓸줄도 모르고 내신은 박터지고 쓰레기 틀딱학교,수갤러 (211.114) 2024.02.22 09:41:11 스크랩 조회 439 추천 5 댓글 0,5,439,2024.02.22 09:41:11,https://gall.dcinside.com/mgallery/board/view/?id=suwon_boys_high&no=1914&page=1
1,1913,,신입생인데 축구부 어케 들가요?,못들어감?,수갤러 (180.69) 2024.01.26 18:28:01 스크랩 조회 506 추천 0 댓글 1,0,506,2024.01.26 18:28:01,https://gall.dcinside.com/mgallery/board/view/?id=suwon_boys_high&no=1913&page=1
1,1911,,블레인져 <<< 이새77ㅣ ㅂ ㅅ인거 인정하면 개 추ㅋㅋ,- dc official App,수갤러 (106.101) 2024.01.21 22:28:36 스크랩 조회 638 추천 9 댓글 4,9,638,2024.01.21 22:28:36,https://gall.dcinside.com/mgallery/board/view/?id=suwon_boys_high&no=1911&page=1
1,1909,,대머리,존나 테러하네 똥을 싸요 학교 ㅈㄱ네,수갤러 (223.62) 2023.12.19 14:16:45 스크랩 조회 392 추천 0 댓글 1,0,392,2023.12.19 14:16:45,https://gall.dcinside.com/mgallery/board/view/?id=suwon_boys_high&no=1909&page=1
