페이지,게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
1,2010,,fuck tuna,?,중갤러 (211.104) 2026.05.30 10:17:56 스크랩 조회 16 추천 0 댓글 0,0,16,2026.05.30 10:17:56,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=2010&page=1
1,2009,,08 박태건우 ㅋㅋㅋㅋ,비율이 와 키가큰 모델같은ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,중갤러 (217.138) 2026.05.29 23:41:47 스크랩 조회 33 추천 0 댓글 0,0,33,2026.05.29 23:41:47,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=2009&page=1
1,2008,,산적 박성제,이학교 이사장 사위라는말 진짜임?,중갤러 (14.138) 2026.05.22 00:02:48 스크랩 조회 150 추천 2 댓글 0,2,150,2026.05.22 00:02:48,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=2008&page=1
1,2007,,1학년영어쌤,뒷반쌤 누구임 ㅈㄴ싸가지없네,중갤러 (14.138) 2026.05.19 13:47:21 스크랩 조회 151 추천 2 댓글 0,2,151,2026.05.19 13:47:21,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=2007&page=1
1,2006,,혹시 3학년 담임중 강정석쌤 계심?,나때 2학년 담임이었고 평소에도 1~2학년만 하셨는데 올해 갑자기 3학년 담임하심?,중갤러 (222.106) 2026.05.17 18:36:16 스크랩 조회 152 추천 3 댓글 0,3,152,2026.05.17 18:36:16,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=2006&page=1
1,2005,,이선화,미적분 까먹어서 2학기땐 안한다는데 이거맞나요,중갤러 (211.36) 2026.05.16 13:52:12 스크랩 조회 184 추천 1 댓글 1,1,184,2026.05.16 13:52:12,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=2005&page=1
1,2004,,체육대회 의외였던점,버블슈트 이긴 김승규 달리기 개빠른 신이룬,중갤러 (211.169) 2026.05.15 17:48:18 스크랩 조회 289 추천 19 댓글 1,19,289,2026.05.15 17:48:18,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=2004&page=1
1,2003,,여보생고지,야이 중산변태찐따새끼들아 진정한 여보생고지를 보고싶다면 2학년 8반에 레전드 꼬3 김민찬을 보러와라 다임신시켜주마,중갤러 (1.233) 2026.05.13 22:25:18 스크랩 조회 1658 추천 21 댓글 1,21,1658,2026.05.13 22:25:18,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=2003&page=1
1,2001,,2023년 담임이셨던 김성희선생님,자리 ict부 그대로신가요?졸업생인데 스승의날때 찾아뵈려고하는데 알려주면 감사하겠습니다,중갤러 (39.118) 2026.05.12 22:45:03 스크랩 조회 252 추천 12 댓글 1,12,252,2026.05.12 22:45:03,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=2001&page=1
1,2000,,ㅂㅅㅈ ㅇㄷㅎ이 나쁜놈이라고 생각하던데,진짜 중산 만악의 근원은 ㅇㅈㅎ임,중갤러 (118.235) 2026.05.12 00:39:21 스크랩 조회 295 추천 2 댓글 3,2,295,2026.05.12 00:39:21,https://gall.dcinside.com/mini/board/view/?id=jungsanhigh&no=2000&page=1
