페이지,게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
1,2045,,섹스,섹스,학갤러 (1.253) 2026.04.04 20:41:55 스크랩 조회 128 추천 0 댓글 1,0,128,2026.04.04 20:41:55,https://gall.dcinside.com/mgallery/board/view/?id=hshs&no=2045&page=1
1,2043,,노무현,나 노무현인데 학성고 연못에서 잉어 잡았다,학갤러 (106.101) 2026.03.27 19:58:56 스크랩 조회 103 추천 3 댓글 0,3,103,2026.03.27 19:58:56,https://gall.dcinside.com/mgallery/board/view/?id=hshs&no=2043&page=1
1,2042,,인사박습니다,신입생인데 블라 스텝3까지 풀어야 수학에서 1 뜨나요?,학갤러 (210.219) 2026.02.22 23:48:32 스크랩 조회 129 추천 0 댓글 0,0,129,2026.02.22 23:48:32,https://gall.dcinside.com/mgallery/board/view/?id=hshs&no=2042&page=1
1,2040,,신입생 질문,국영수 난이도 어떰?,학갤러 (122.43) 2026.01.28 01:06:10 스크랩 조회 182 추천 0 댓글 0,0,182,2026.01.28 01:06:10,https://gall.dcinside.com/mgallery/board/view/?id=hshs&no=2040&page=1
1,2035,,ㅇㅁㅈ,"지구를 빛낸 100명의 로리들 아름다운 이땅에 로리 강산에 사-쿠라 사마가 터잡으시고 지크로리 뜻으로 로리제국세우니 대대손손 카와이한 로리도 많아 로리지온 미네바 무적 마호로 외계에서온 데지코 자매파워 보여라 푸치캐럿 쨩 로리대좌 텟사 쨩 백결로리 리오 쨩 절대존명 화우경 [1] 로리머신 멀티 ! 맞서싸운 챠챠 ! 로리는 법이다. 돈독오른 링링 쨩 리본 아리아 치카게 쨩 오컬트 섹시 사쿠야 극렬로리 히나코 병약 마리에 스포츠걸 마모루 체키 요츠바 불법무기 하루카 치어 카호 쨩 로리칠현 나나 쨩 청순가련 카렌 쨩 검사 마이 쨩 붕어소녀 아유 쨩 일편단심 나유키 고기만두 마코토 해동로리 솔이 ! 로리교사 미샤 ! 로리는 법이다. 고-기 보기를 돌같이 하라. 나디아 사마의 말씀 받들자 도촬소녀 토모요 과학 카즈나 [2] 우사다 와 삐요코 조연은 안다. 로리마녀 도레미 과묵 바닐라 아유무 쨩 오사카 잘싸운다 모토코 울보 시노부 버그잡는 스쿨드 화약눈물 리제르 [3] 츠바사 와 히카루 몸바쳐서 레이 ! 음침로리 레인 ! 로리는 법이다. 신출귀몰 쟌느 쨩 의적 네티 쨩 대쪽수녀 세인트 목동 하이디 6년정체 이치고 구루 쿠쿠리 방랑로리 라나 쨩 해커 에드 쨩 왕녀 스우 메카닉 사서 코코로 팔방로리 밍키 쨩 로리장교 치세 쨩 순교 플 자매 주점알바 유미 쨩 끝장낸다 퀘스쨩 삼일로리 토모미 시오리 는 병약! 아오이 는 열혈! 로리는 법이다. 작다는 건 편리해 꼬마 베르단디 꿈 잘꾼다 카나미 눈술사 슈가 마법기사 히카루 메이드 메이 정의신봉 아멜 쨩 쵸비츠 치이 쨩 별의 왕녀 샤크티 의녀 파이 [4] 쨩 제국화격 사쿠라 [5] 바카바카 루리쨩 파산 히메 [6] 쨩 꼬마 컴터 스모모 미사키 와 하토코 함장의 딸 밀레느 날자꾸나 치요 ! 네꼬 그림 아마네 ! 로리는 법이다. 로리는 법이다. 로리는 법이다! 1차(?) 선언문. 현재 시각으로는 1990년대 ~ 2000년대 초중반 당시 인기를 누린 로리 캐릭터들이 집약되어 있는 훌륭한 1차 사료이기도 하다(...). 제군, 나는 로리가 좋다. 제군, 나는 로리를 좋아한다. 제군, 나는 로리를 아주 좋아한다. 교복로리가 좋다 빈유로리가 좋다 고스로리가 좋다. [7] 히메로리가 좋다. 안경로리가 좋다. 천연로리가 좋다. 거유로리가 좋다. 데레로리가 좋다. 합법로리가 좋다. 애니에서, 만화에서 오비에서, 노벨에서, 티비플에서, 니코동에서, 방영판에서, 미연시에서, 피규어에서, 일러스트에서... 이 세상에서 사랑할 수 있는 모든 종류의 로리를 아주 좋아한다. 천연로리의 직설적이고 묘하게 핵심을 꿰뚫는 도짓코에 당황하는 것이 좋다. 어린애였던 로리가 성장한 모습으로 나타나 원본의 모에 요소가 재확인될 때 마음이 춤을 춘다! 구형 스쿨미즈 차림에 물놀이 튜브를 끼고 일렬로 줄지어 있는 모습이 좋다. 리코더가 꽂힌 분홍색 란도셀을 매고 있는 로리를 불렀을 때, 뒤돌아 보며 짓는 미소에 가슴이 구원받는 듯한 기분이였다. 보쿠도 우치도 아닌 자신의 이름을 일인칭으로 사용하는 게 좋다. 혀 짧은 말투로 오니짱이라 부르는 로리가 소매를 잡아 당기며 떼를 쓸때 감동조차 느낀다! 어려 보이는 합법로리가 반말로 잔소리를 하는 것은 정말 참을 수 없어. 편식하는 로리를 어르고 달래어 억지로 채소를 먹일때에, 요리에 당근이 들어갔다고 투정 부리는 것도 최고다. 귀여운 겉모습에 주변인물들이 로리를 어린애 취급을 할 때, 자존심이 상한 로리가 엉망으로 화장을 하고 나타나, 놀림 받고 시무룩한 얼굴을 지을 때는 절정조차 느낀다! 츤데레 로리들의 하렘에 둘러싸이는 게 좋다. 필사적으로 지키려고 한 히로인 자리에서, 호라 모 젠젠, 로리에게 남주를 빼앗긴 지방덩어리들에게는 매우 매우 슬플지도 모르지. 거유캐들이 사이즈로 로리를 압사시키는 게 좋다. 원작의 로리가 픽시브에 들어가 가슴이 달려 나오는 꼴은 정말 굴욕중의 굴욕이지. 제군, 나는 로리를, 작고 귀여운 로리를 원한다. 제군, 로리를 좋아하는 대대 전우 제군, 제군은 도대체 무엇을 바라고 있나? 그대들도 로리를 갈구하는가? 아름답고 귀여운, 일러스트의 로리를 원하는가? 동급생과 친구, 선배, 누님을, 모조리 밀어내고서 공기로 만드는, 애니속의 로리를 제군은 원하는가? (로리! 로리!) 좋다, 지금 바로 덕질을 시작하자! 십여년 전의 치욕스런 패배 후에, 우리는 전 세계에 로리의 모에를 보일 날 만을 기다려 왔다. 허나, 십년 넘게 포돌이에 숨어서, 로리에 대한 갈증을 참아온 우리에게! 평범한 짤 따위가,우리들의 갈증을 해결해 줄 수 있을까? 로리, 아주 아청한 로리가 필요하다! 비록 로리콘은 일반인들에게는 고작 변태 덕후들, 은발찌가 필요한 오타쿠들에 불과할지도 모른다. 허나 제군, 로리콘이, 그것이 병이 아님을 나는 믿어 의심치 않는다! 그러므로 제군은, 그리고 이 나는! 덕력으로 치면 백만 명과 한 명의, 하나의 로리콘이 되는 것이다! 우리를 아청법의 세계로 쫒아내고서 잠에 빠져 있던 놈들을 깨워, 악몽이 시작되었음을 알려라. 머리채를 붙잡아 깨워서, 로리의 모에함을 똑똑히 각인시켜 줘라. 놈들에게 로리의 몸짓을 다시 생각나게 해 주자. 놈들에게 로리의 목소리를 다시 기억나게 해 주자! 인터넷의 깊은 곳에는, 놈들의 철학으로는 생각할 수도 없는 것들이 있다는 것을 기억나게 해주자. 이곳의 로리콘 연대대로 전 세계를 로리로 모에하게 하자! 그렇다. 저것이야말로, 우리가 그토록 꿈에 그려왔던 로리의 본질인 것이다. 나는 제군을 데리고 돌아오겠다는 약속을 지켰다고? 꿈에 그리던 소꿉로리로, 꿈에 그리던 로리터로! (로리콘에 로리, 로리에 로리콘, 우리들에게 로리를! 로리콘에 로리, 로리에 로리콘, 우리들에게 로리를!) 그리고 내일이면, 아청법을 씹고 야짤을 게시한다. 로리지온 모든 로리콘들에게 전달! 이는 대대장의 명령이다. 자-아, 제군, 모에를 구현하도록.",학갤러 (58.239) 2025.12.22 09:42:34 스크랩 조회 345 추천 1 댓글 2,1,345,2025.12.22 09:42:34,https://gall.dcinside.com/mgallery/board/view/?id=hshs&no=2035&page=1
1,2034,,녀녀녀녀녀,- dc official App,박순길 (211.234) 2025.12.19 19:52:12 스크랩 조회 176 추천 0 댓글 1,0,176,2025.12.19 19:52:12,https://gall.dcinside.com/mgallery/board/view/?id=hshs&no=2034&page=1
1,2033,,점점점점점,- dc official App,박순길 (211.234) 2025.12.19 19:52:04 스크랩 조회 120 추천 0 댓글 0,0,120,2025.12.19 19:52:04,https://gall.dcinside.com/mgallery/board/view/?id=hshs&no=2033&page=1
1,2032,,진짜 학교 가기가 무섭다..,2학년 1반에 아프리카 자이언트 애벌레 있다는데 진짜노? - dc official App,학갤러 (211.234) 2025.12.19 19:50:52 스크랩 조회 219 추천 0 댓글 0,0,219,2025.12.19 19:50:52,https://gall.dcinside.com/mgallery/board/view/?id=hshs&no=2032&page=1
1,2027,,그거어딨음 신정고 노무현포스텈ㅋㅋㅋㅋㅋ,빨리 ㅋㅋㅋㅋㅋㅋㅋ - dc official App,학붕이 (58.239) 2025.12.19 14:46:37 스크랩 조회 292 추천 0 댓글 0,0,292,2025.12.19 14:46:37,https://gall.dcinside.com/mgallery/board/view/?id=hshs&no=2027&page=1
1,2022,,2학년 1반 개빌런,뚱땡이면 개추,학갤러 (58.239) 2025.11.17 13:22:40 스크랩 조회 308 추천 2 댓글 1,2,308,2025.11.17 13:22:40,https://gall.dcinside.com/mgallery/board/view/?id=hshs&no=2022&page=1
