페이지,게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
19,3422,[일반],요즘 하사 숙소 좋은곳 주나요?,"요즘 부사관 대우면 귀족이라던데 집도 좋은집 주나요?
+차도 준다는데 맞음?","ㅇㅇ 2023.10.05 20:58:24
스크랩 조회 467 추천 1 댓글 4",1,467,2023.10.05 20:58:24,https://gall.dcinside.com/mini/board/view/?id=afashs&no=3422&page=19
19,3421,[일반],육해공 다 합친 통계긴 하지만,공군이라고 딱히 다를 바 없다는 사실은 여러분들도 잘 아시죠?,"ㅇㅇ 2023.10.05 18:41:20
스크랩 조회 432 추천 8 댓글 1",8,432,2023.10.05 18:41:20,https://gall.dcinside.com/mini/board/view/?id=afashs&no=3421&page=19
19,3420,[일반],17군번 해병인데,"여기 보니까 내 군생활도 지나고 보니 봄이었네ㅋㅋㅋㅋ
ㄷㄷ개무섭네 자녀 긴빠이에 7년 복무ㅅㅂㅋㅋㅋㅋ나같았음 가출해서 걍 손절칠듯
근데 니들은 공군에 간부면 좀 괜찮은거 아님?공군 간부는 군생활 어떠냐??(하사~중사쯤)","ㅇㅇ 2023.10.04 11:50:17
스크랩 조회 331 추천 2 댓글 1",2,331,2023.10.04 11:50:17,https://gall.dcinside.com/mini/board/view/?id=afashs&no=3420&page=19
19,3419,[일반],궁금한데,그학교 자퇴한다 하면 학부모나 학교에서 강압적으로 나옴?근데 학교는 그렇다 치고 학부모는 보통 애들이 힘들다하면 자식편 들어주는게 정상 아니냐?군대7년이고 악조건도 많아서 힘들거 알텐데?,"ㅇㅇ 2023.10.04 09:00:33
스크랩 조회 328 추천 0 댓글 4",0,328,2023.10.04 09:00:33,https://gall.dcinside.com/mini/board/view/?id=afashs&no=3419&page=19
19,3418,[일반],에휴,"난 이학교 졸업생이고, 어느덧 연금 대상자가 될 연차가 되었네요.

여기 게시판이 있다는 것은 최근에 알았습니다.

선배님들이 학교에 대한 노골적인 비판에 맞서는 모습 좀.. 부끄럽다. 논리적으로 이야기하지 못하고 푸념섞어 추상적으로 일갈하는 모습 보이는데 그러지 맙시다. 후배들이 비판하는 요점에 대해서 어떤 생각을 가지고 있는지만 진정성있게 말해줘도 될듯합니다.(알아들을 사람들은 알아듣지 않을까해서..)

이곳 게시판 성격상 학교출신의 자부심은 그냥 가지고만 계셔도 될듯합니다. 학교동문 홈페이지가 있다면 그곳에서 맘껏 즐기시는게 좋지 않을까요.

저는 솔직히 부사관이라는 신분에 굉장히 회의적입니다. 장교와 병사 사이에서 영향력을 발휘하기 힘든 너무나도 애매한 신분인 것 같습니다. 30년 넘게 군생활 하신 선배들이 대대장 오늘 기분 어떤지를 묻고 다니는 모습을 보고있으면 더는 오래하고 싶지 않아요.

전문적인 기술로 멋지게 군생활 해나가는 선배님들 정말 존경합니다.그리고 정말 본받고 싶은 선배들도 분명히 있습니다. 하지만 분명 신분에 한계는 있습니다. 가능성많은 젊은 후배들은 그 한계에 대해서 인정하기 쉽지 않을겁니다.

후배들아 댓글에 질문 남겨주면 내가 어줍짢은 답변이겠지만 한번 소통해보자구.

반감을 샀다면 미리 사과드립니다~
- dc official App","ㅇㅇ 2023.10.04 06:51:50
스크랩 조회 530 추천 18 댓글 4",18,530,2023.10.04 06:51:50,https://gall.dcinside.com/mini/board/view/?id=afashs&no=3418&page=19
19,3416,[일반],팩트) 사회는 지옥이 맞다,"어중간하게 임관했다가 전역하고 나오면 나이는 많은데 고졸이니 지옥이 맞음

그러니까 애초에 이 학교 입학을 하지 말고 이미 다니는 중이면 자퇴하고 대학 가라 
- dc official App","ㅇㅇ 2023.10.03 23:26:07
스크랩 조회 714 추천 18 댓글 6",18,714,2023.10.03 23:26:07,https://gall.dcinside.com/mini/board/view/?id=afashs&no=3416&page=19
19,3415,[일반],고참들이 괜히 그러는줄 아나봐?,"사회에 나가봐라 취업은 어떻게 할거냐 분명히 사회는 선배님들 말대로 지옥이 맞다.
































군대보다는 덜하다곤 안했다","ㅇㅇ 2023.10.03 22:27:52
스크랩 조회 222 추천 3 댓글 0",3,222,2023.10.03 22:27:52,https://gall.dcinside.com/mini/board/view/?id=afashs&no=3415&page=19
19,3413,[일반],자퇴하면 지옥이라는 말,"맞는 것 같다
지옥일수 도 있다.
하지만 기억해라.
안에도 지옥이다.
밖에서는 상사가 ㅈㄹ하면 그만둘 수 있지만,
군대는 아니다.
인복이 많다고 생각하면 군대 있어라
하지만, 인복이 평균치라고 생각하면 무조건 나와라
내가 밖에서 이 짓했으면 300받았다.
교대근무로 시간외 풀로 찍고있는데 내통장에 220만원만 찍힌다.","ㅇㅇ 2023.10.02 22:48:16
스크랩 조회 416 추천 11 댓글 0",11,416,2023.10.02 22:48:16,https://gall.dcinside.com/mini/board/view/?id=afashs&no=3413&page=19
19,3412,[일반],이 학교 그냥 폐교가 답임,"수재 데려다가 공무원 시켜준다고 진주 사람들은 생각하던데,
범재 데려다가 고부나 시키고 둔재도 아닌 ㅂㅅ 만드는 학교임","ㅇㅇ 2023.10.02 22:42:55
스크랩 조회 283 추천 8 댓글 0",8,283,2023.10.02 22:42:55,https://gall.dcinside.com/mini/board/view/?id=afashs&no=3412&page=19
19,3411,[일반],부사관판 사관학교라..,장성들중에 공사 아닌사람 찾기가 힘든데 감독관들 중에서는 항과고인 사람 찾기가 더 힘들던데..,"ㅇㅇ 2023.10.02 22:07:36
스크랩 조회 488 추천 9 댓글 4",9,488,2023.10.02 22:07:36,https://gall.dcinside.com/mini/board/view/?id=afashs&no=3411&page=19
