페이지,게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
,6404,[일반],우리 학교 출신인물 꽤 익숙한 편이네,"나무위키에 눈꽃, 배칠수, 오진승. 나머진 모르겠다",ㅇㅇ (59.186) 2026.04.29 21:14:41 스크랩 조회 149 추천 1 댓글 0,1,149,2026.04.29 21:14:41,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6404&page=1
,6408,[일반],운동회 하는거 구경가야하는데,산책할겸 뭐하는지 보고싶네,이재빈 (106.101) 2026.05.16 23:11:33 스크랩 조회 84 추천 3 댓글 0,3,84,2026.05.16 23:11:33,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6408&page=1
,6405,[일반],06년도 21회 졸업생이다 질문 받는다,닉 이재빈 씹ㅋㅋㅋㅋㅋㅋㅋㅋ,이재빈 (61.101) 2026.05.04 16:28:18 스크랩 조회 142 추천 1 댓글 1,1,142,2026.05.04 16:28:18,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6405&page=1
,6402,[일반],내일 물리 화언 찍기 특강,물리 화학 2찍 ㄱㄱ,이재빈 (106.101) 2026.04.26 22:22:36 스크랩 조회 130 추천 3 댓글 2,3,130,2026.04.26 22:22:36,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6402&page=1
,6406,[일반],경천수는 노무현에게 감사해야 한다,2005년에 사립학교법을 개정하지 않았더라면 경천수가 교장될 일도 없었다. 오늘에서야 배바지 경천수 교장 탄생 소식 듣고 깜놀 ㅎㅎ 교장 돼서도 닭대가리 타령하실 건가 아무튼 인생은 오래 살고 볼 일이구나 좋은 일 있으면 술이나 사시지,경천수 (118.37) 2026.05.11 00:17:07 스크랩 조회 187 추천 19 댓글 2,19,187,2026.05.11 00:17:07,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6406&page=1
,6403,[일반],영어 몇번으로 찍을까요,ㅈㄱㄴ,ㅇㅇ (211.36) 2026.04.27 22:15:59 스크랩 조회 99 추천 1 댓글 1,1,99,2026.04.27 22:15:59,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6403&page=1
,6407,[일반],12년도 졸업생이다,"12학번 친구들아 잘사냐 나는 결혼도하고 애기도 생겼다. 아내가 임신했다. 시험끝날때마다 참새노래방 갔던거생각난다. 별반 큰 변곡점없이 살아온것같은데 이제 애기가 생긴다니 뭔가 큰 인생의 챕터가 하나 시작되는 것 같다. 졸업하고 대학생 때 인천 붙어있을 땐 부평 곰팅이피시방 구락부당구장가면 세일고놈들 많이봤는데 이제 10년이 지나고 부모님도 타지로 이사가시고 친구들 중 인천에 남아있는 사람도 없다. 니네도 세이헬로부터시작해서 감옥, 별밤까지 재미있게 놀았었냐 ? 나는 가요톱텐까진 안갔다. 학교처음 입학했을때 강당에모여 세일 경례소리에 압도됐던게 생각난다. 세일고 간다고 반삭하고 ,, 그렇게 학교생활 시작하고 했던 기억들이 이제 순간의 기억으로만 남았다. 점심시간에 축구농구, 주말에와서 축구했던 기억들이 아련하다. 올해 여름이 다가오고 햇살을 맞으니 그때가 가끔 생각난다. 지금 교장선생님이 되신 경천수선생님 달리기가 매우 빨랐었다. 그 스퍼트하시는 장면은 머리에 박혀있다. 경천수 선생님이 교장선생님이 됐다니 이거도 신기하다. 그 선생님께서 1학년때모의고사성적이 수능성적이다 했던게 생각나네 ㅋㅋㅋㅋ 지금은 그렇게 발언하면 민원 받는 시대가 된 것 같다. 지금도 제일 친한친구들은 세일고놈들이다. 다 잘됐다. 남고에서 머리말고 공부만 했는데 대학가더니 각자 다 알아서 여자도 잘만나고 세일고에서 너무 사람을 붙잡아 놨더니 애들이 미쳐 날뛰고 대학생활부터 날라다니더라. 나는 세일고 교육방식을 아직도 반대하는사람이다. 이제는 어디에서도 그렇게 하지 않겠지만 하여간 술한잔하고 집에서 맥주한잔하면서 추억에 잠긴다. 바람의나라 옛날버젼으로 나왔다해서 깔짝깔짝 해보는데 이제 이것도 못하겠다. 재학생들은 열심히 공부해라. 지금은 공부해 놔야 나중에 더 재미있게 놀 수 있다. 졸업하고 대학가면 무슨말이지 알거다. 명신여고 친구들이랑 친하게 지내라. 대학가면 가지치기 해야한다. 하여간 한잔했는데 10시도안됐다. 다들 열심히 살고 모두 화이팅하자 ! 바람하러간다.",이재빈 (221.143) 2026.05.14 21:46:59 스크랩 조회 167 추천 14 댓글 2,14,167,2026.05.14 21:46:59,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6407&page=1
,6401,[일반],각변환,,ㅇㅇ (211.36) 2026.04.22 19:43:10 스크랩 조회 150 추천 3 댓글 1,3,150,2026.04.22 19:43:10,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6401&page=1
,6400,[일반],19년졸업생 왔다,정한아쌤 계시냐,ㅇㅇ (106.101) 2026.04.13 23:15:45 스크랩 조회 173 추천 2 댓글 1,2,173,2026.04.13 23:15:45,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6400&page=1
,6398,[일반],요즘 세일고 쌤들 어떠냐?,ㄹㅇ 궁금함,이재빈 (115.138) 2026.04.05 12:17:47 스크랩 조회 248 추천 2 댓글 0,2,248,2026.04.05 12:17:47,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6398&page=1
,6397,[일반],영어권문화 시험 난이도 어떰?,선배님들 도와줘 !,이재빈 (58.238) 2026.04.05 00:36:46 스크랩 조회 138 추천 2 댓글 1,2,138,2026.04.05 00:36:46,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6397&page=1
,6399,[일반],실시간 2학년 화장실,1학년 인데 이거뭐노?,이재빈 (223.38) 2026.04.06 17:42:19 스크랩 조회 280 추천 0 댓글 0,0,280,2026.04.06 17:42:19,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6399&page=1
,6396,[일반],세일고 2026 입결 어케 됨??,ㅈㄱㄴ,ㅇㅇ (118.235) 2026.04.04 17:17:27 스크랩 조회 193 추천 1 댓글 0,1,193,2026.04.04 17:17:27,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6396&page=1
,6395,[일반],권현아 ㅇㄸ,- dc official App,이재빈 (39.122) 2026.04.01 08:11:01 스크랩 조회 162 추천 0 댓글 1,0,162,2026.04.01 08:11:01,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6395&page=1
,6393,[일반],지듣노,에어팟나가서사실지듣노같은건없어미안해그대신내가노래불러중게 요루니우칸데이타쿠라게노요나스키가하제타바스테노세오노좃케바아노나츠노키미가아타마니이루 킷토진세사이고노히오마에니오모우노다로젠부젠부무다쟈나캇테유카라아아킷토진세사이고노히키미가이나이코토가마다신지라레나이케도 아와이츠키니미토레테시마우카라우와이아시모토모미에즈니지분가타다노시미니미에루호도키즈카나이후리오스루노다카타치노나이우타데아사오에가이노다 츠즈쿠지킨노카케라오아츠메테이루타다스기루노오토노요하쿠니가쿠코타에와이츠혼노리치사나칸쵸에아이오히토츠마타네마타네요루니사쿠온도토토모루마데,8106번버스 (211.235) 2026.03.26 20:36:06 스크랩 조회 146 추천 0 댓글 1,0,146,2026.03.26 20:36:06,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6393&page=1
,6392,[일반],3모,역사 13점 인데 죽고싶다.,이재빈 (58.228) 2026.03.24 19:31:54 스크랩 조회 189 추천 1 댓글 2,1,189,2026.03.24 19:31:54,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6392&page=1
,6389,[일반],영어 에세이 쓸 책 추천해주세요,아무분야,ㅇㅇ (118.37) 2026.03.11 19:38:05 스크랩 조회 230 추천 3 댓글 4,3,230,2026.03.11 19:38:05,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6389&page=1
,6390,[일반],박영찬 암?,1학년인데 존잘임,이재빈 (118.235) 2026.03.22 16:58:42 스크랩 조회 218 추천 4 댓글 1,4,218,2026.03.22 16:58:42,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6390&page=1
,6388,[급식],급식 너무 맛있어요!!,감사합니다,&gt;&lt; (117.111) 2026.03.06 18:14:11 스크랩 조회 178 추천 1 댓글 1,1,178,2026.03.06 18:14:11,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6388&page=1
,6382,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6382&page=1
,6370,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6370&page=1
,6373,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6373&page=1
,6376,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6376&page=1
,6367,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6367&page=1
,6366,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6366&page=1
,6363,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6363&page=1
,6362,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6362&page=1
,6361,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6361&page=1
,6360,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6360&page=1
,6359,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6359&page=1
,6358,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6358&page=1
,6355,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6355&page=1
,6357,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6357&page=1
,6348,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6348&page=1
,6347,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6347&page=1
,6345,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6345&page=1
,6344,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6344&page=1
,6338,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6338&page=1
,6337,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6337&page=1
,6385,[일반],10년생야붕이 재배정결과나옴ㅋㅋ...,응붙었어 10명중6명붙었다는데 수고요~ 4명은 화이팅~!,이재빈 (39.124) 2026.03.01 20:32:47 스크랩 조회 258 추천 4 댓글 1,4,258,2026.03.01 20:32:47,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6385&page=1
,6331,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6331&page=1
,6329,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6329&page=1
,6320,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6320&page=1
,6311,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6311&page=1
,6318,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6318&page=1
,6387,[일반],10 짬찌인데 세일 생각보다 좋노,진실로다가 좋노 아니면 처음이라 연막술이노?.,이재빈 (211.203) 2026.03.04 23:44:58 스크랩 조회 373 추천 7 댓글 3,7,373,2026.03.04 23:44:58,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6387&page=1
,6310,,,,익명,,,,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6310&page=1
,6384,[일반],수시 문과,진지하게 이 학교에서 준비 가능한가요??? 정시로 빠르게 트는게 유리하겠죠...,이재빈 (116.45) 2026.02.14 10:12:37 스크랩 조회 306 추천 1 댓글 5,1,306,2026.02.14 10:12:37,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6384&page=1
,6386,[일반],형왔다,강점현 샘 아직 계시나?,갤붕이 (211.36) 2026.03.02 18:00:24 스크랩 조회 173 추천 1 댓글 2,1,173,2026.03.02 18:00:24,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6386&page=1
,6383,[일반],08반,담임쌤 나온거 있냐 떡밥같은거라도,이재빈 (58.238) 2026.02.13 23:12:03 스크랩 조회 176 추천 1 댓글 0,1,176,2026.02.13 23:12:03,https://gall.dcinside.com/mini/board/view/?id=seilhs&no=6383&page=1
