게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
2590,,교복 진짜,노짱 정장 닮았노,"ㅇㅇ(182.227) 2026.02.26 21:05:01
스크랩 조회 635 추천 20 댓글 1",20,635,2026.02.26 21:05:01,https://gall.dcinside.com/mgallery/board/view/?id=cheongbbak&no=2590&page=2
2586,,개학개좆같네진짜,"3학년들은 좀 풀어줘라 개좆같네진짜 7교시는 누가 정한거냐
장난치는것도아니고진짜 졸업하면 두번다신 안 온다","청갤러(112.165) 2026.02.03 03:17:04
스크랩 조회 533 추천 1 댓글 3",1,533,2026.02.03 03:17:04,https://gall.dcinside.com/mgallery/board/view/?id=cheongbbak&no=2586&page=2
2585,,신입생인데요,청석고 나무위키 이거 찐임?,"청갤러(39.125) 2026.01.26 00:29:45
스크랩 조회 606 추천 0 댓글 2",0,606,2026.01.26 00:29:45,https://gall.dcinside.com/mgallery/board/view/?id=cheongbbak&no=2585&page=2
2584,,2학년이 되는 일부 장애우들에게,"2학년 됐다고 짬 차서 본인의 장애 등급이 하향되었다
생각하지 말길 바라는 바임.
- dc official App","청갤러(211.169) 2026.01.19 16:00:16
스크랩 조회 797 추천 17 댓글 6",17,797,2026.01.19 16:00:16,https://gall.dcinside.com/mgallery/board/view/?id=cheongbbak&no=2584&page=2
2583,,청석고 ㅆㅅㅌㅊ,"지리네요

- dc official App","게에보옥취이 2026.01.19 11:04:26
스크랩 조회 403 추천 0 댓글 0",0,403,2026.01.19 11:04:26,https://gall.dcinside.com/mgallery/board/view/?id=cheongbbak&no=2583&page=2
2582,,내일 예비소집하러 가는 예비 고1 인데요,혹시 내일 시험 보나요?,"ㅇㅇ(1.246) 2026.01.18 22:46:35
스크랩 조회 402 추천 0 댓글 1",0,402,2026.01.18 22:46:35,https://gall.dcinside.com/mgallery/board/view/?id=cheongbbak&no=2582&page=2
2581,,청석 4지망 걸렸는데,"여기 병신학교에요?
- dc official App","청갤러(118.235) 2026.01.17 15:42:36
스크랩 조회 609 추천 12 댓글 2",12,609,2026.01.17 15:42:36,https://gall.dcinside.com/mgallery/board/view/?id=cheongbbak&no=2581&page=2
2580,,신입생인데,"조회해서 학번 나오는거 임신가요 확정인가요?
예비소집때 시험봐서 정해지는건가요","청갤러(39.125) 2026.01.16 18:12:42
스크랩 조회 374 추천 1 댓글 3",1,374,2026.01.16 18:12:42,https://gall.dcinside.com/mgallery/board/view/?id=cheongbbak&no=2580&page=2
2579,,2026 신입생인데,아니 씨발 교복이 개구립니다 선배님들,"게에보옥취이 2026.01.16 15:35:45
스크랩 조회 376 추천 0 댓글 2",0,376,2026.01.16 15:35:45,https://gall.dcinside.com/mgallery/board/view/?id=cheongbbak&no=2579&page=2
2578,,롤 청주명문청석<<이새끼 조심해라,개벌레년임 ㄹㅇ,"청갤러(118.46) 2026.01.15 02:48:28
스크랩 조회 581 추천 9 댓글 2",9,581,2026.01.15 02:48:28,https://gall.dcinside.com/mgallery/board/view/?id=cheongbbak&no=2578&page=2
2577,,반배정,반배정 언제 나옴?,"청갤러(218.53) 2026.01.10 01:39:09
스크랩 조회 394 추천 0 댓글 1",0,394,2026.01.10 01:39:09,https://gall.dcinside.com/mgallery/board/view/?id=cheongbbak&no=2577&page=2
2576,,엔진11 파란색 자전거 타고 다니는 사람없냐,학교에 차고 다니는 애 없음?ㅔ,"청갤러(211.235) 2026.01.02 22:15:50
스크랩 조회 277 추천 0 댓글 1",0,277,2026.01.02 22:15:50,https://gall.dcinside.com/mgallery/board/view/?id=cheongbbak&no=2576&page=2
