제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_분류,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
대학어디가 발표 기준 인문계 입시 결과(누적백분위),,,"ㅇㅇ(14.39) 2025.05.28 19:59:25
조회 97 추천 0 댓글 0",추천 0,조회 97,2025.05.28 19:59:25,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=85&page=1,여성/가족,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
갤주 일 안하노,,ㅇ,"동갤러(210.108) 2025.03.25 12:40:28
조회 99 추천 0 댓글 0",추천 0,조회 99,2025.03.25 12:40:28,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=84&page=1,악플/욕설,0.3436691462993622,0.4019637107849121,0.4162016808986664,0.507465124130249,0.40540269017219543,0.5473226308822632,0.4841731786727905,0.5891696214675903,0.5897398591041565,0.3669813573360443,0.47376707196235657
"탑플레이어포커 머니상의 세계, 진짜 팁이야!",,"포커에서 머니상을 따고 싶다면 몇 가지 팁이 있어. 잘 들어봐. 첫째, 자금 관리가 아주 중요해. 내 bankroll을 철저하게 관리해야 해. 예를 들어, 한 게임에 너무 많은 베팅을 하지 말고 항상 적당한 금액만 걸어야 해. 이렇게 하면 연패하더라도 쉽게 게임에서 탈락하지 않아.둘째, 상대방을 잘 분석해야 해. 플레이어의 스타일을 파악하고, 그들이 어떤 상황에서 어떻게 행동하는지 잘 관찰해. 타이트한 플레이어와 루즈한 플레이어를 구분하고, 그에 맞춰 전략을 바꿔야 해.셋째, 포커의 기본 원칙, 즉 포지션을 잊지 말고 항상 신경 써. 초기 포지션에서는 좀 더 신중하게 플레이하고, 후반 포지션에서는 공격적으로 나가도 좋아. 이렇게 상황에 맞게 변화를 줘야 해.마지막으로, 감정을 잘 다스려야 해. 감정이 격해지면 실수하기 쉬우니까, 침착함을 잃지 않는 게 중요해. 칩이 날아가더라도 차분하게 다음 판을 준비하는 마음가짐이 필요해.이런 팁들을 기억하면서 플레이하면 머니상을 따는 데 큰 도움이 될 거야. 포커의 매력을 느끼면서 즐거운 게임 시간 가져!","동갤러(218.36) 2025.03.21 02:15:54
조회 2586 추천 0 댓글 5",추천 0,조회 2586,2025.03.21 02:15:54,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=83&page=1,성소수자,0.3399979770183563,0.44212812185287476,0.5945602655410767,0.5317702293395996,0.36845526099205017,0.5785882472991943,0.24804557859897614,0.568820595741272,0.5033156275749207,0.5036481618881226,0.45612597465515137
디씨하는 동국고생 없노?,,갤러리 활성화 좀 시키자,"동국붕이(115.143) 2025.03.17 23:18:09
조회 167 추천 1 댓글 1",추천 1,조회 167,2025.03.17 23:18:09,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=82&page=1,지역,0.46638211607933044,0.5636259913444519,0.5040849447250366,0.6291177272796631,0.4820389747619629,0.6612204909324646,0.45017632842063904,0.5499352812767029,0.4864204227924347,0.44884559512138367,0.5280612707138062
이런 거,,만들지마세요,"ㅇㅇ 2025.02.25 23:57:38
조회 102 추천 0 댓글 0",추천 0,조회 102,2025.02.25 23:57:38,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=81&page=1,기타 혐오,0.35002318024635315,0.40321409702301025,0.44156476855278015,0.5071946978569031,0.4091360569000244,0.6116864681243896,0.4517728090286255,0.6183002591133118,0.48026928305625916,0.42290106415748596,0.4855896532535553
이런 갤러리 만들지 맙시다!,,이러면 안돼요.,"ㅇㅇ 2025.02.18 20:27:42
조회 155 추천 0 댓글 0",추천 0,조회 155,2025.02.18 20:27:42,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=80&page=1,기타 혐오,0.35784855484962463,0.3855673372745514,0.39124569296836853,0.4849003255367279,0.27818238735198975,0.5439398884773254,0.4825630784034729,0.5975549817085266,0.5499047636985779,0.363369882106781,0.41685423254966736
이런 갤러리 만들지 마세요,,나빠요,"ㅇㅇ 2025.02.16 21:31:20
조회 152 추천 0 댓글 0",추천 0,조회 152,2025.02.16 21:31:20,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=79&page=1,기타 혐오,0.366855651140213,0.4321010708808899,0.4196624755859375,0.4994160234928131,0.3245484232902527,0.5818508863449097,0.4518446624279022,0.5824284553527832,0.49497413635253906,0.3780229091644287,0.4689668118953705
12기 졸업 축하한다!!!!,,"다들 댓글 남겨라
안남기면 서운할 예정","동갤러(118.235) 2025.01.14 00:39:11
조회 192 추천 1 댓글 1",추천 1,조회 192,2025.01.14 00:39:11,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=78&page=1,기타 혐오,0.3540222942829132,0.4863660931587219,0.396515816450119,0.46975329518318176,0.335468053817749,0.5968538522720337,0.49387940764427185,0.616935133934021,0.5508044958114624,0.3484255075454712,0.430042028427124
면접좀 도와,,예비15긴데 면접 도움 받는다 선착순,"동갤러(180.230) 2024.12.08 18:23:52
조회 269 추천 0 댓글 1",추천 0,조회 269,2024.12.08 18:23:52,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=77&page=1,기타 혐오,0.3834235966205597,0.44028836488723755,0.5293523669242859,0.44379723072052,0.2742632031440735,0.4822235107421875,0.36075299978256226,0.6057839393615723,0.5215425491333008,0.4341855049133301,0.42267608642578125
가난해서 진보인게 아니라,,진보여서 가난한거다,"동갤러(118.235) 2024.11.25 23:40:14
조회 385 추천 7 댓글 1",추천 7,조회 385,2024.11.25 23:40:14,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=76&page=1,기타 혐오,0.3810424208641052,0.45560336112976074,0.3378835916519165,0.46348583698272705,0.34091857075691223,0.5403509736061096,0.455375075340271,0.6419745683670044,0.4980529248714447,0.422513484954834,0.4700217545032501
