제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_분류,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
수원조원고등학교 갤러리가 만들어졌습니다.,[일반],"조원고등학교 나무위키: https://namu.wiki/w/조원고등학교

조원고등학교 인스타: https://www.instagram.com/jowon_highschool/

조원고등학교 홈페이지: https://jowon-h.goesw.kr/index.do


조원 조원 조원고 세계로 나가자 얍","조원고등학교 2024.04.19 19:56:19
조회 458 추천 5 댓글 2",추천 5,조회 458,2024.04.19 19:56:19,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=2&page=1,악플/욕설,0.3606058359146118,0.43618959188461304,0.554520308971405,0.4809633493423462,0.3324126601219177,0.4654728174209595,0.3194137215614319,0.554793119430542,0.57411789894104,0.47142669558525085,0.38409602642059326
그립노,[일반],재수중인데 그립노,"06김승담(210.98) 2025.04.02 03:52:48
조회 137 추천 0 댓글 1",추천 0,조회 137,2025.04.02 03:52:48,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=27&page=1,지역,0.3860115706920624,0.5382580161094666,0.42026087641716003,0.46408575773239136,0.4414602518081665,0.5988997220993042,0.4474731981754303,0.5952674746513367,0.4606779217720032,0.37360405921936035,0.507368803024292
고슴딩가 볼사람?,[일반],딩가딩가딩~ 예이!,"ghostowl 2025.03.11 15:44:41
조회 151 추천 3 댓글 1",추천 3,조회 151,2025.03.11 15:44:41,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=26&page=1,기타 혐오,0.37793850898742676,0.3768705725669861,0.5176366567611694,0.43625351786613464,0.3459722101688385,0.5499342679977417,0.3880069851875305,0.5882803797721863,0.5570247173309326,0.41859662532806396,0.4080653786659241
조원고 1학년없냐?,[일반],"조원고 신입생 개노잼 확정
목누런 쿨톤들 200명","뽀미(121.136) 2025.03.08 06:30:32
조회 145 추천 0 댓글 4",추천 0,조회 145,2025.03.08 06:30:32,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=25&page=1,기타 혐오,0.4226614832878113,0.49025487899780273,0.46584826707839966,0.5438145399093628,0.39388805627822876,0.5617066621780396,0.37541520595550537,0.6005768179893494,0.5309483408927917,0.4047340750694275,0.48518645763397217
모델 지망생인데 얼평좀,[일반],"ㅇㅇ
- dc official App","조붕이(58.230) 2025.03.03 20:36:24
조회 152 추천 1 댓글 1",추천 1,조회 152,2025.03.03 20:36:24,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=24&page=1,기타 혐오,0.3672894835472107,0.4207731783390045,0.4653831720352173,0.4547061324119568,0.3306339383125305,0.5702176094055176,0.4457489252090454,0.5864444971084595,0.4717593193054199,0.37966424226760864,0.4481160640716553
조원고 출신 미녀,[일반],우흥.,"조붕이(14.33) 2025.02.18 03:57:39
조회 162 추천 1 댓글 0",추천 1,조회 162,2025.02.18 03:57:39,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=23&page=1,지역,0.3623923659324646,0.4646105170249939,0.4055962562561035,0.47957199811935425,0.36880990862846375,0.6078963279724121,0.4594157338142395,0.5576123595237732,0.5304585695266724,0.3295453190803528,0.5133262872695923
"""어리광 피우지마라""",[일반],세상은 결과다. -노건-,"조붕이(58.230) 2025.02.11 02:34:04
조회 1164 추천 8 댓글 3",추천 8,조회 1164,2025.02.11 02:34:04,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=22&page=1,기타 혐오,0.39809566736221313,0.38587337732315063,0.48448580503463745,0.44967153668403625,0.29561424255371094,0.5845982432365417,0.3831367790699005,0.5975154638290405,0.5229550004005432,0.3973575830459595,0.3974054753780365
노브라 공유합니다,[일반],,"조붕이(58.230) 2025.02.08 03:00:33
조회 215 추천 8 댓글 2",추천 8,조회 215,2025.02.08 03:00:33,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=20&page=1,여성/가족,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
반갑노이기야!조원고새싹이긔,[일반],"나 조원고신입생 애기벌(암컷)인데
잘부탁한다이기~~~만나면 인사좀
해줘라","조붕이(211.207) 2025.01.25 16:55:39
조회 118 추천 0 댓글 3",추천 0,조회 118,2025.01.25 16:55:39,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=18&page=1,기타 혐오,0.3826977610588074,0.355368435382843,0.5440627336502075,0.4570312798023224,0.31307509541511536,0.47191619873046875,0.32741978764533997,0.6068640947341919,0.5495368838310242,0.4488193690776825,0.41957926750183105
수능 2일남음,[일반],6교과 최저러가 간다,"조붕이(211.114) 2024.11.12 15:17:30
조회 111 추천 1 댓글 0",추천 1,조회 111,2024.11.12 15:17:30,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=15&page=1,지역,0.3834238350391388,0.4447420537471771,0.4857766032218933,0.434527188539505,0.41484999656677246,0.6611106395721436,0.46805307269096375,0.5568353533744812,0.5599969029426575,0.38552337884902954,0.5147101283073425
