제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_분류,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
호날두,,,"삼공조아 2025.07.09 22:44:50
조회 50 추천 0 댓글 0",추천 0,조회 50,2025.07.09 22:44:50,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=498&page=1,여성/가족,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인생이 재미없노,,ㅈㄱㄴ,"삼공조아 2025.07.07 18:45:32
조회 58 추천 0 댓글 0",추천 0,조회 58,2025.07.07 18:45:32,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=496&page=1,지역,0.33225366473197937,0.4113144278526306,0.4118347764015198,0.49770957231521606,0.36936867237091064,0.5684393644332886,0.4824345111846924,0.5661018490791321,0.5504903793334961,0.36337101459503174,0.4751240611076355
누가 더 유명함 일론머스크 네이마르,,- dc official App,"디바(59.28) 2025.07.03 23:56:08
조회 49 추천 0 댓글 1",추천 0,조회 49,2025.07.03 23:56:08,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=494&page=1,기타 혐오,0.3721371293067932,0.4374190866947174,0.49757206439971924,0.4516105353832245,0.3276384472846985,0.5843014717102051,0.3862406015396118,0.5929543972015381,0.4305541217327118,0.39702674746513367,0.41079872846603394
똥싸고,,물좀 내려 ㅅㅂㄹㄷㅇ,"삼공조아 2025.06.30 08:29:17
조회 58 추천 0 댓글 0",추천 0,조회 58,2025.06.30 08:29:17,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=490&page=1,지역,0.3510924279689789,0.43088141083717346,0.4526840150356293,0.5289531946182251,0.4281606674194336,0.6587709784507751,0.4410537779331207,0.6571789383888245,0.46322569251060486,0.3984479606151581,0.4954420030117035
시험문제 알아내는법 알려준다,,ㅈㄱㄴ,"삼공조아 2025.06.29 12:54:39
조회 78 추천 0 댓글 0",추천 0,조회 78,2025.06.29 12:54:39,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=489&page=1,지역,0.33225366473197937,0.4113144278526306,0.4118347764015198,0.49770957231521606,0.36936867237091064,0.5684393644332886,0.4824345111846924,0.5661018490791321,0.5504903793334961,0.36337101459503174,0.4751240611076355
수시 개꿀팁 알려준다,,질문받는다,"삼공조아 2025.06.26 09:39:45
조회 62 추천 0 댓글 0",추천 0,조회 62,2025.06.26 09:39:45,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=487&page=1,기타 혐오,0.34325122833251953,0.4441361725330353,0.44956761598587036,0.501557469367981,0.33135807514190674,0.5735371112823486,0.4356852173805237,0.5896731019020081,0.5208075642585754,0.35611584782600403,0.4519246816635132
실습실컴으로,,채굴햇엇다고?ㅋㅋㅋ,"삼공조아 2025.06.25 00:28:26
조회 72 추천 0 댓글 0",추천 0,조회 72,2025.06.25 00:28:26,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=486&page=1,기타 혐오,0.3873153030872345,0.4399397671222687,0.4303637146949768,0.47511616349220276,0.40530136227607727,0.5929924249649048,0.421834260225296,0.6349512934684753,0.4942850172519684,0.41779589653015137,0.5277643799781799
체육대회 찬/반,,ㅇㄴ ㅆㅂ ㅋㅋ 체육대회 반대하는놈들은 뭐냐 ㅋㅋ 확 갖다 운동장에 꽂아벌라 안할거면 운동장에 찌그러져 있으세요,"삼갤러(211.234) 2025.06.24 08:49:07
조회 66 추천 1 댓글 0",추천 1,조회 66,2025.06.24 08:49:07,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=484&page=1,지역,0.3921654224395752,0.40842634439468384,0.42593440413475037,0.4744022786617279,0.4723251461982727,0.6544777750968933,0.4450407028198242,0.5894835591316223,0.5568607449531555,0.3924621343612671,0.5587977170944214
ㅎㅇ,,ㅎㅇ,"삼공조아 2025.06.17 08:34:25
조회 82 추천 0 댓글 1",추천 0,조회 82,2025.06.17 08:34:25,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=475&page=1,기타 혐오,0.3550143241882324,0.3966948688030243,0.39019742608070374,0.4472964406013489,0.35858118534088135,0.5917395949363708,0.5252227783203125,0.6060512065887451,0.5452549457550049,0.35313650965690613,0.4664653241634369
2026 신입생은 꼭 봐라,,"삼일공고는 학생한테 사전투표를 강요하는 학교다

알아서 생각하고 

공고는 수원공고가 더 좋다 게이들아

여기오지마라 차라리 도박을 해라 

-현재 재학생임-","삼갤러(211.114) 2025.05.29 11:41:20
조회 188 추천 5 댓글 1",추천 5,조회 188,2025.05.29 11:41:20,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=468&page=1,악플/욕설,0.3971465229988098,0.4488876163959503,0.547756016254425,0.43284088373184204,0.30048733949661255,0.4553122818470001,0.32719045877456665,0.5332298874855042,0.5723481774330139,0.46672701835632324,0.3610135018825531
