제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_분류,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
서천고 2학년 ㅂㅇㅅ,,"서천고 2학년 2반에 백ㅇ산이라고 있지 않음??
그 친구 축구 잘하지도 않는데 왜케 나대는거임??????? 진짜 못 봐주겠다
정신 좀 차리라고 하셈.. 진심 살면서 공 3번 차본 내가 한 한달만 하면 훨 잘할 듯 ㄹㅇㅋㅋ","서갤러(125.138) 2025.06.22 16:38:34
조회 61 추천 2 댓글 1",추천 2,조회 61,2025.06.22 16:38:34,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=33&page=1,성소수자,0.40327784419059753,0.4752155840396881,0.5580229163169861,0.4552532434463501,0.3053950071334839,0.445203959941864,0.31309932470321655,0.5175264477729797,0.5552269816398621,0.4573664665222168,0.39522016048431396
나 2학년 선효빈인데,,맞짱 신청받는다 2학년 1반으로와라,"서갤러(210.182) 2025.06.10 13:39:55
조회 64 추천 1 댓글 1",추천 1,조회 64,2025.06.10 13:39:55,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=32&page=1,기타 혐오,0.39523154497146606,0.39743146300315857,0.5540410876274109,0.43713808059692383,0.3067793846130371,0.5281350612640381,0.38271668553352356,0.6274060010910034,0.5441147089004517,0.42811548709869385,0.3975854218006134
티비위키 사용 후기와 화질 비교,,"요즘 티비위키로 드라마 정주행하는 사람이 많더라. 나도 한 번 써봤는데, 진짜 편하더라. 예전에는 이런 정보 찾으려고 여기저기 검색하는 것도 일이었는데, 티비위키 덕에 한 방에 해결돼서 시간 절약이 장난 아니야. 근데 화질 부분은 좀 아쉽더라. 가끔씩 화질이 떨어지는 경우가 있긴 한데, 뭐 그 정도는 감수할만하지 않겠어? 특히 요즘 핫한 드라마들 정보 정리도 빠르고, 덕분에 몰입해서 볼 수 있더라고. 다른 사람들은 어떻게 느꼈는지 궁금한데, 혹시 나만 이런가? 티비위키 덕분에 더 많은 드라마를 시간 낭비 없이 즐길 수 있어서 개인적으로는 만족 중!","서갤러(61.250) 2025.01.16 09:27:57
조회 3811 추천 0 댓글 0",추천 0,조회 3811,2025.01.16 09:27:57,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=31&page=1,성소수자,0.40774524211883545,0.520007312297821,0.5860477089881897,0.460675448179245,0.30098897218704224,0.4625578224658966,0.27946916222572327,0.5130314230918884,0.5445115566253662,0.4933744966983795,0.3839283287525177
3학년 김은우 찾아와라,,맞짱깔라 나 장애인이라 너내 나 못건드릴다,"김은우(58.232) 2024.08.18 23:02:27
조회 322 추천 2 댓글 5",추천 2,조회 322,2024.08.18 23:02:27,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=29&page=1,기타 혐오,0.4178285002708435,0.37823486328125,0.5134214162826538,0.48423823714256287,0.3436184823513031,0.5239579081535339,0.36937257647514343,0.6228122115135193,0.5011816024780273,0.4258235991001129,0.4191799759864807
나 서천고 교장 이병준이다,,"나 서천고 교장 이병준인데 병준아 ㅅㅂ 정신좀 차리자 왜 ㅅㅂ 방학이 이렇게 짧아 ㅅㅂ 이게맞냐? 좀 정신좀 차려라
- dc official App","서갤러(1.245) 2024.08.12 21:01:22
조회 210 추천 1 댓글 1",추천 1,조회 210,2024.08.12 21:01:22,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=28&page=1,성소수자,0.38152289390563965,0.402156263589859,0.6043512225151062,0.48458564281463623,0.3558148443698883,0.5255873203277588,0.3167676627635956,0.5896769165992737,0.5585921406745911,0.4364849925041199,0.4509305953979492
서고갤 ㅈ노잼이노,,직갤로 와라,"서갤러(118.235) 2024.06.26 21:53:07
조회 232 추천 0 댓글 2",추천 0,조회 232,2024.06.26 21:53:07,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=26&page=1,기타 혐오,0.4045647382736206,0.4129117727279663,0.5236794352531433,0.5278065800666809,0.37273654341697693,0.6201004385948181,0.4077005386352539,0.6508222222328186,0.4626510739326477,0.3810604214668274,0.40347203612327576
나 서천고 1학년 1반 윤영호인데,,"서여고여자 먹고싶다
- dc official App","서갤러(180.81) 2024.06.17 09:31:05
조회 228 추천 0 댓글 0",추천 0,조회 228,2024.06.17 09:31:05,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=25&page=1,지역,0.39430949091911316,0.4777962267398834,0.44234922528266907,0.479726105928421,0.3352977931499481,0.6470057368278503,0.4043255150318146,0.5431218147277832,0.5207983255386353,0.41216152906417847,0.49540817737579346
나 서천고 나용현인데,,아무여자나 따먹고싶다 뚱녀도 가능이다,"보딩고지 2024.06.12 11:23:07
조회 262 추천 3 댓글 2",추천 3,조회 262,2024.06.12 11:23:07,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=24&page=1,기타 혐오,0.4125503897666931,0.4001438021659851,0.4522530138492584,0.4522871971130371,0.40608200430870056,0.5578754544258118,0.4474720358848572,0.5816105604171753,0.49804726243019104,0.46144944429397583,0.47879111766815186
Me too,,내가 대신 쳐줄까??,"김*훈(180.81) 2024.04.12 10:27:28
조회 158 추천 0 댓글 0",추천 0,조회 158,2024.04.12 10:27:28,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=21&page=1,기타 혐오,0.41975244879722595,0.42590656876564026,0.48411259055137634,0.455318808555603,0.36576396226882935,0.5593746900558472,0.4146835207939148,0.6364566087722778,0.46132174134254456,0.36919793486595154,0.5316353440284729
아지금수업중인데집가서빨리치고싶다,,품번공유해줘라,"신ㄱ(106.101) 2024.04.12 10:26:30
조회 292 추천 2 댓글 1",추천 2,조회 292,2024.04.12 10:26:30,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=20&page=1,지역,0.4231187403202057,0.4626961946487427,0.44020310044288635,0.4936786890029907,0.509602963924408,0.6043268442153931,0.45491790771484375,0.5623853206634521,0.46848949790000916,0.4444531202316284,0.49671250581741333
