제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_분류,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
대한민국 최고의 대학 한기대,,한국기술교육대학교 추천합니다,"창갤러(124.54) 2025.02.20 00:20:30
조회 63 추천 0 댓글 2",추천 0,조회 63,2025.02.20 00:20:30,https://gall.dcinside.com/mini/board/view/?id=skkucex&no=49&page=1,기타 혐오,0.3937537968158722,0.3808673620223999,0.5160025358200073,0.4974331259727478,0.3862922489643097,0.5530741810798645,0.4047871530056,0.5959316492080688,0.45725807547569275,0.42729440331459045,0.4855174720287323
군택시 오픈소스 라이센스(2024.10.27),,군택시 오픈소스 라이센스입니다.,"성갤러(121.160) 2024.10.27 14:03:22
조회 19 추천 0 댓글 1",추천 0,조회 19,2024.10.27 14:03:22,https://gall.dcinside.com/mini/board/view/?id=skkucex&no=46&page=1,지역,0.3799089193344116,0.4248611330986023,0.4385174810886383,0.5079112648963928,0.40577447414398193,0.617761492729187,0.3883097767829895,0.5793418288230896,0.48686230182647705,0.4368551969528198,0.49709469079971313
군택시 오픈소스 라이선스(24.10.27),,군택시 오픈소스 라이선스입니다.,"성갤러(121.160) 2024.10.27 14:02:22
조회 11 추천 0 댓글 0",추천 0,조회 11,2024.10.27 14:02:22,https://gall.dcinside.com/mini/board/view/?id=skkucex&no=45&page=1,지역,0.380296528339386,0.43105271458625793,0.44336262345314026,0.4925214648246765,0.41331690549850464,0.6132009029388428,0.3813527822494507,0.5779067277908325,0.4829399585723877,0.4256044626235962,0.4860984683036804
군택시 공지사항(2024.10.27),,군택시 공지사항입니다.,"성갤러(121.160) 2024.10.27 13:10:53
조회 22 추천 0 댓글 0",추천 0,조회 22,2024.10.27 13:10:53,https://gall.dcinside.com/mini/board/view/?id=skkucex&no=44&page=1,기타 혐오,0.38362765312194824,0.4084622859954834,0.40509307384490967,0.48858654499053955,0.40535202622413635,0.5930643677711487,0.42675870656967163,0.6338099837303162,0.48411718010902405,0.43642446398735046,0.5083261132240295
여기 포함하여 다른학교 갤러리들까지 분탕치는 김명준이라는 애는 사칭임,,예전에 여기를 포함하여 다른학교 갤러리들까지 분탕일으키고 이상한 글 올리면서 삭제하고 튀었던 사람중에 김명준이라는 이름이 가끔 보이던데 진짜 김명준이라는 사람이 한 짓이 아니라 사칭이 한 짓입니다. 실제로 김명준이라는 사람은 디시를 하는 사람이 아닙니다. 김명준이라는 이름으로 된 글과 댓글들은 전부 사칭입니다.,"성갤러(118.235) 2024.08.31 16:31:24
조회 36 추천 0 댓글 0",추천 0,조회 36,2024.08.31 16:31:24,https://gall.dcinside.com/mini/board/view/?id=skkucex&no=43&page=1,성소수자,0.36708202958106995,0.44419538974761963,0.5979525446891785,0.4519548714160919,0.3463037610054016,0.4829727113246918,0.3036584258079529,0.5272823572158813,0.5562700033187866,0.4840153753757477,0.4176250100135803
이 찐따새끼 뭐하는 새끼냐,,ㅉㅉㅉ ㅂㅅㅅㄲ,"성갤러(211.36) 2024.07.01 07:12:49
조회 209 추천 1 댓글 0",추천 1,조회 209,2024.07.01 07:12:49,https://gall.dcinside.com/mini/board/view/?id=skkucex&no=42&page=1,기타 혐오,0.3395687937736511,0.43619784712791443,0.39748406410217285,0.4932207763195038,0.3337199091911316,0.5637676119804382,0.4794607162475586,0.6486629843711853,0.5036628246307373,0.41289022564888,0.48703905940055847
한기대 소개합니다,,한국기술교육대학교 추천합니다,"공갤러(211.235) 2024.03.05 14:59:34
조회 112 추천 1 댓글 2",추천 1,조회 112,2024.03.05 14:59:34,https://gall.dcinside.com/mini/board/view/?id=skkucex&no=40&page=1,기타 혐오,0.3937537968158722,0.3808673620223999,0.5160025358200073,0.4974331259727478,0.3862922489643097,0.5530741810798645,0.4047871530056,0.5959316492080688,0.45725807547569275,0.42729440331459045,0.4855174720287323
24학번 남혐하는 예비성균관대생 입갤,,"1
이미지 순서 ON
2
3
4

ㅎㅎ","ㅇㅇ(106.101) 2023.12.13 16:27:12
조회 415 추천 3 댓글 1",추천 3,조회 415,2023.12.13 16:27:12,https://gall.dcinside.com/mini/board/view/?id=skkucex&no=39&page=1,악플/욕설,0.39094558358192444,0.4614509046077728,0.5266666412353516,0.4394581913948059,0.32380321621894836,0.48438194394111633,0.3448023200035095,0.5284149050712585,0.5536336898803711,0.4469943046569824,0.367326021194458
예비 유생 입갤 ㅋㅋㅋㅋ,,"최저 개같이 맞추고
“논술”전형으로 들어갈게 형들
사랑해~~","ㅇㅇ(220.78) 2023.09.13 18:30:42
조회 146 추천 2 댓글 1",추천 2,조회 146,2023.09.13 18:30:42,https://gall.dcinside.com/mini/board/view/?id=skkucex&no=38&page=1,기타 혐오,0.4179437458515167,0.40963608026504517,0.5335826277732849,0.45335471630096436,0.3036688566207886,0.48510250449180603,0.368256539106369,0.6148589253425598,0.532823383808136,0.4338745176792145,0.39424633979797363
성균관대는 서울대 라이벌임,,"한국의 옥스브릿지

성균관대서울대","ㅇㅇ(118.129) 2023.06.07 13:26:30
조회 327 추천 4 댓글 4",추천 4,조회 327,2023.06.07 13:26:30,https://gall.dcinside.com/mini/board/view/?id=skkucex&no=36&page=1,지역,0.3705747127532959,0.42327880859375,0.42805492877960205,0.4625837206840515,0.3465093672275543,0.635966956615448,0.46193644404411316,0.5827462077140808,0.5234315395355225,0.4045334458351135,0.4519742727279663
