제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_분류,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
07 공부 솔직히 거품인듯ㅋㅋ,,수성고 2학년 고한결선에서 정리당함 ㅋㅋ,"수갤러(118.235) 2025.06.27 23:37:20
조회 188 추천 2 댓글 1",추천 2,조회 188,2025.06.27 23:37:20,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=112&page=1,기타 혐오,0.39734530448913574,0.439982146024704,0.46520107984542847,0.4791824519634247,0.34416869282722473,0.5718545913696289,0.43796342611312866,0.6229013800621033,0.5228298306465149,0.3880150020122528,0.4569064974784851
진짜 0908병신밖에 없네,,ㅈㄱㄴ,"수갤러(116.127) 2025.06.21 16:04:42
조회 178 추천 0 댓글 0",추천 0,조회 178,2025.06.21 16:04:42,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=111&page=1,지역,0.33225366473197937,0.4113144278526306,0.4118347764015198,0.49770957231521606,0.36936867237091064,0.5684393644332886,0.4824345111846924,0.5661018490791321,0.5504903793334961,0.36337101459503174,0.4751240611076355
저의 디시갤 게시물 관련해서 다시 한번 사과드립니다.,,제 게시물로 인해 상처입으신 모든 분께 죄송합니다.,"수갤러(125.178) 2025.05.23 15:48:24
조회 228 추천 1 댓글 0",추천 1,조회 228,2025.05.23 15:48:24,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=109&page=1,지역,0.40831536054611206,0.431323379278183,0.39466241002082825,0.5686365365982056,0.38125094771385193,0.6416358351707458,0.3970068097114563,0.5747591257095337,0.45909103751182556,0.3989219069480896,0.5285453796386719
아랫글 뭔 개소리냐,,내가 글쓴 사람이고 사과할 생각 없다.,"수갤러(211.114) 2025.04.23 13:36:51
조회 362 추천 1 댓글 1",추천 1,조회 362,2025.04.23 13:36:51,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=108&page=1,기타 혐오,0.37593090534210205,0.4191863536834717,0.48210522532463074,0.49951422214508057,0.32095155119895935,0.5495024919509888,0.33977392315864563,0.5837516188621521,0.47257283329963684,0.40798765420913696,0.44009995460510254
"수성고 학우, 교사 여러분께",,,"수갤러(211.114) 2025.04.23 13:36:36
조회 480 추천 1 댓글 0",추천 1,조회 480,2025.04.23 13:36:36,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=107&page=1,여성/가족,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"수성고 학우, 교사 여러분께",,"이 게시물엔 안 올라왔지만, 1학년 교사분들께도 죄송합니다.","수갤러(211.114) 2025.04.23 13:16:05
조회 611 추천 3 댓글 12",추천 3,조회 611,2025.04.23 13:16:05,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=106&page=1,악플/욕설,0.39555972814559937,0.4449446499347687,0.543241560459137,0.41968753933906555,0.28459519147872925,0.42273831367492676,0.310726135969162,0.5192034244537354,0.610706627368927,0.48006606101989746,0.3306730389595032
나는 에렌예거인거같애,,어제 코피가 났는데 갑자기 진격의 거인이되서 우리 엄마 아빠 다 죽엇어,"수갤러(211.114) 2025.04.23 09:16:11
조회 244 추천 2 댓글 1",추천 2,조회 244,2025.04.23 09:16:11,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=104&page=1,기타 혐오,0.3682372570037842,0.4234800636768341,0.5322346091270447,0.47503241896629333,0.32724881172180176,0.5047885775566101,0.3396686017513275,0.5947985649108887,0.5540006160736084,0.44780436158180237,0.399807870388031
수성고 미남 순위 ㄱㄱ 3학년,,1등 ㄴㄱ임? 난 개인적으로 김건식,"수갤러(211.114) 2025.04.23 09:11:03
조회 424 추천 2 댓글 0",추천 2,조회 424,2025.04.23 09:11:03,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=102&page=1,악플/욕설,0.3608601987361908,0.42448461055755615,0.4276910722255707,0.44728803634643555,0.3490240275859833,0.5115541219711304,0.41373342275619507,0.5711238980293274,0.5733359456062317,0.37544742226600647,0.463394433259964
수성게이,,제발 게이새끼들 학교에서 입닥치고 조용히 있어라 뒤에서 시끄럽게 굴지말고,"수갤러(210.96) 2025.03.22 12:51:10
조회 296 추천 2 댓글 1",추천 2,조회 296,2025.03.22 12:51:10,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=100&page=1,기타 혐오,0.42702504992485046,0.5004185438156128,0.4076744616031647,0.5414559245109558,0.3893459737300873,0.6154788136482239,0.44069749116897583,0.6588024497032166,0.4673539996147156,0.43701454997062683,0.5862287878990173
명문 수성고 학생들은 이재명 대통령을 공식 지지합니다!,,이재명 화이팅!,"수갤러(118.235) 2025.01.30 01:21:28
조회 619 추천 13 댓글 3",추천 13,조회 619,2025.01.30 01:21:28,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=97&page=1,기타 혐오,0.3654839098453522,0.49310386180877686,0.447388619184494,0.539909839630127,0.2976061701774597,0.5863611102104187,0.44357091188430786,0.6435080766677856,0.4954974949359894,0.4173084795475006,0.5121328830718994
후배 수성인들에게,,"니들은 ㅈ됐다 ㅋㅋㅋ

수성고 오면 그래도 내신 따기 어려운거 감수하고 왔는데 수시로 어느정도는 잘 가겠지?

어림도 없지

다른 옆 ㅈ반고들만 못한 수시 입결의 참담함에 고개 숙이게 될 것이다. 정시 준비 ㅈ빠지게 해라.
- dc official App","06수성통통범부(112.153) 2024.12.31 14:08:30
조회 554 추천 0 댓글 2",추천 0,조회 554,2024.12.31 14:08:30,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=95&page=1,기타 혐오,0.40607792139053345,0.43690094351768494,0.5729990005493164,0.4849400818347931,0.3145880699157715,0.48829755187034607,0.3244316279888153,0.59671950340271,0.5142877101898193,0.45332926511764526,0.46448180079460144
우리과 존예 여대생 에타에 박제됐네 ㄷㄷ,,헐 콧수염,"ㅇㅇ(211.234) 2024.12.25 22:35:55
조회 588 추천 0 댓글 0",추천 0,조회 588,2024.12.25 22:35:55,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=94&page=1,지역,0.4024878442287445,0.501782238483429,0.4403704106807709,0.5812346339225769,0.5580834150314331,0.6610163450241089,0.47087109088897705,0.573273241519928,0.5250967741012573,0.42181798815727234,0.5910171866416931
수성고 24년도 설대 몇명 보냈나요?,,"24년 수원 일반계 고등학교에서 설대 간 인원 아는 학교는 3곳뿐임

창현고 8명
영복여고 5명
동원고 3명


번외)수원외고가 9명

수성은 몇명보냄?","ㅇㅇ(221.163) 2024.10.14 22:32:44
조회 813 추천 1 댓글 2",추천 1,조회 813,2024.10.14 22:32:44,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=93&page=1,기타 혐오,0.3844713866710663,0.33005812764167786,0.5880776643753052,0.46187323331832886,0.38378217816352844,0.508904218673706,0.3502236008644104,0.6161216497421265,0.47923532128334045,0.44868794083595276,0.47267991304397583
수성고 딥페 상황 보고할수있도록.,,본인은 믿을만한 인물이니 편하게 말하도록.,"ㅇㅇ(160.238) 2024.08.26 21:37:56
조회 951 추천 0 댓글 0",추천 0,조회 951,2024.08.26 21:37:56,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=92&page=1,기타 혐오,0.40623533725738525,0.41763773560523987,0.5214324593544006,0.51668781042099,0.32466620206832886,0.5273584723472595,0.3881304860115051,0.6149598360061646,0.43024173378944397,0.4260365962982178,0.40975865721702576
2024 수성고 정리,,"06:평균 상위권 잘하는 애들 ㅈㄴ잘함 많지는 않아 12등급 경쟁 심하지 않음
07:병신많음 상위권이 ㅈㄴ많아 123경쟁 치열함
08:그냥 병신 천국 상위권부터 하위권까지 수준 떨어짐 근데 모고 백분위는 괜찮게 나옴 08년생 자체가 병신

선생피셜","수갤러(116.127) 2024.08.23 20:25:06
조회 1235 추천 3 댓글 6",추천 3,조회 1235,2024.08.23 20:25:06,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=91&page=1,성소수자,0.41433462500572205,0.40023520588874817,0.5727982521057129,0.45627522468566895,0.3459213078022003,0.4081520140171051,0.3528147339820862,0.5340924859046936,0.5504177808761597,0.45478010177612305,0.47530075907707214
전학생없냐?,,뭐 걍 학교 좆노잼이네 2학기땐 전학생오던 사건터지던 뭐좀 했으면,"ㅇㅇ(61.83) 2024.07.21 17:34:06
조회 329 추천 0 댓글 1",추천 0,조회 329,2024.07.21 17:34:06,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=90&page=1,악플/욕설,0.3843150734901428,0.4915817081928253,0.5493631362915039,0.4333438575267792,0.2838433086872101,0.45882442593574524,0.30464842915534973,0.5297513604164124,0.5987865328788757,0.4469076097011566,0.3640076816082001
