제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_분류,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
수원정보과학고,,"등학교
- dc official App","내가아니면누가해 2025.08.02 13:38:25
조회 13 추천 0 댓글 0",추천 0,조회 13,2025.08.02 13:38:25,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=47&page=1,기타 혐오,0.36040952801704407,0.3655177056789398,0.5550960302352905,0.4463110864162445,0.31150105595588684,0.5169761180877686,0.34632205963134766,0.5972300171852112,0.48881790041923523,0.410782128572464,0.4275076389312744
수원정보과학고 갤러리 만든 사람 찾는다,,수정고 갤 만든 애 누군지 알고싶다.,"ㄱㄱㄱㄱ(211.114) 2025.07.15 14:28:56
조회 42 추천 0 댓글 3",추천 0,조회 42,2025.07.15 14:28:56,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=46&page=1,기타 혐오,0.3871625065803528,0.46632879972457886,0.5572896003723145,0.48962581157684326,0.31780457496643066,0.4726583957672119,0.3137442469596863,0.577030599117279,0.5518374443054199,0.46516701579093933,0.38273775577545166
떡칠사람,,7월16일 오후 8시에 정문으로 와라 남자만~ 진짜 맛있는거 줄겡,"떡칠사람(211.114) 2025.07.15 14:28:35
조회 37 추천 0 댓글 1",추천 0,조회 37,2025.07.15 14:28:35,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=45&page=1,인종/국적,0.4130995273590088,0.40017154812812805,0.548254132270813,0.5505192875862122,0.4007844626903534,0.5433729290962219,0.358375608921051,0.525812566280365,0.48176223039627075,0.45726823806762695,0.44059979915618896
하아졸리노,,개졸리노무현 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"ㅇㅇ(211.114) 2025.07.15 14:01:59
조회 20 추천 0 댓글 0",추천 0,조회 20,2025.07.15 14:01:59,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=42&page=1,기타 혐오,0.34394797682762146,0.4561120867729187,0.4394436776638031,0.4581967890262604,0.329485148191452,0.5751730799674988,0.4064716696739197,0.6005698442459106,0.513432502746582,0.3855193555355072,0.46343955397605896
하졸리노,,수업 듣기 싫다.......................................................................................................................................................................................................................................................................................................................................................................................,"ㅇㅇ(211.114) 2025.07.07 09:15:51
조회 25 추천 0 댓글 0",추천 0,조회 25,2025.07.07 09:15:51,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=39&page=1,지역,0.3512223958969116,0.42117926478385925,0.5425607562065125,0.4768073856830597,0.30685344338417053,0.6695004105567932,0.46067965030670166,0.5555440783500671,0.5684986710548401,0.42110931873321533,0.432571679353714
2025 gg,,이번년도 회장은 뺑이나 쳐라,"ㅇㅇ(211.234) 2025.07.04 15:47:59
조회 38 추천 4 댓글 0",추천 4,조회 38,2025.07.04 15:47:59,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=38&page=1,기타 혐오,0.42092323303222656,0.4697209894657135,0.4112526476383209,0.48609694838523865,0.3451021611690521,0.587696373462677,0.48773813247680664,0.6088895201683044,0.5068643093109131,0.3731435537338257,0.4097222089767456
나 1학년2반 전자과 김민찬인데,,"나 김민찬인데 전자과 1짱이거든?
나랑 진지하게 야차 뜰 사람 우리반으로 와라","김민찬(211.114) 2025.06.05 11:02:27
조회 104 추천 0 댓글 6",추천 0,조회 104,2025.06.05 11:02:27,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=37&page=1,성소수자,0.37072518467903137,0.3853616416454315,0.5552486777305603,0.4581623375415802,0.3672340214252472,0.4784812033176422,0.31540432572364807,0.5544726848602295,0.5427964329719543,0.42331594228744507,0.4693910777568817
근데 여긴 공고임 상고임?,,,"ㅁㅣ오 2025.05.18 23:01:03
조회 77 추천 0 댓글 2",추천 0,조회 77,2025.05.18 23:01:03,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=36&page=1,여성/가족,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
븅신학교,,ㅇ,"게일리(49.171) 2025.04.06 18:30:28
조회 94 추천 0 댓글 1",추천 0,조회 94,2025.04.06 18:30:28,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=35&page=1,악플/욕설,0.3436691462993622,0.4019637107849121,0.4162016808986664,0.507465124130249,0.40540269017219543,0.5473226308822632,0.4841731786727905,0.5891696214675903,0.5897398591041565,0.3669813573360443,0.47376707196235657
수원정보과학고 불합격하고 일반고가면 ㅁㅌㅊ?,,ㅁㅌㅊ??,".(1.247) 2025.02.05 22:54:53
조회 316 추천 1 댓글 3",추천 1,조회 316,2025.02.05 22:54:53,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=33&page=1,기타 혐오,0.3784528076648712,0.4112463593482971,0.3984858989715576,0.4824151396751404,0.3988558351993561,0.5675439238548279,0.48876431584358215,0.5928978323936462,0.5098487734794617,0.3862246572971344,0.45624569058418274
