source_file,output_file,total,keyword_flagged,keyword_flagged_rate
bugilacademy.csv,bugilacademy_hate.csv,2250,224,0.0996
dghscommunity.csv,dghscommunity_hate.csv,72,4,0.0556
dwgirlshighschool.csv,dwgirlshighschool_hate.csv,4,0,0.0
jowon.csv,jowon_hate.csv,18,1,0.0556
kwangdong.csv,kwangdong_hate.csv,179,23,0.1285
pcmhs.csv,pcmhs_hate.csv,82,15,0.1829
phsfanclub.csv,phsfanclub_hate.csv,195,31,0.159
samiltchschool.csv,samiltchschool_hate.csv,25,10,0.4
samilth.csv,samilth_hate.csv,268,44,0.1642
schools_20p/all_schools.csv,schools_20p__all_schools_hate.csv,3986,375,0.0941
schools_20p/대전대신고__daeshinhigh.csv,schools_20p__대전대신고__daeshinhigh_hate.csv,996,122,0.1225
schools_20p/배재고__paichai1885.csv,schools_20p__배재고__paichai1885_hate.csv,994,29,0.0292
schools_20p/선덕고__sunduckhighschool.csv,schools_20p__선덕고__sunduckhighschool_hate.csv,998,145,0.1453
schools_20p/신일고__shinilhs.csv,schools_20p__신일고__shinilhs_hate.csv,998,79,0.0792
seoryong.csv,seoryong_hate.csv,22,3,0.1364
skk.csv,skk_hate.csv,945,49,0.0519
skkucex.csv,skkucex_hate.csv,26,3,0.1154
susung.csv,susung_hate.csv,168,24,0.1429
swdwgall.csv,swdwgall_hate.csv,2134,411,0.1926
tndnjswjdqh.csv,tndnjswjdqh_hate.csv,80,8,0.1
