제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
대학어디가 발표 기준 인문계 입시 결과(누적백분위),,,"ㅇㅇ(14.39) 2025.05.28 19:59:25
조회 97 추천 0 댓글 0",추천 0,조회 97,2025.05.28 19:59:25,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=85&page=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
갤주 일 안하노,,ㅇ,"동갤러(210.108) 2025.03.25 12:40:28
조회 99 추천 0 댓글 0",추천 0,조회 99,2025.03.25 12:40:28,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=84&page=1,0.018850790336728096,0.011037461459636688,0.012619136832654476,0.01994955912232399,0.014095226302742958,0.010468464344739914,0.018832579255104065,0.009365822188556194,0.03137337043881416,0.9443227648735046,0.010108663700520992
"탑플레이어포커 머니상의 세계, 진짜 팁이야!",,"포커에서 머니상을 따고 싶다면 몇 가지 팁이 있어. 잘 들어봐. 첫째, 자금 관리가 아주 중요해. 내 bankroll을 철저하게 관리해야 해. 예를 들어, 한 게임에 너무 많은 베팅을 하지 말고 항상 적당한 금액만 걸어야 해. 이렇게 하면 연패하더라도 쉽게 게임에서 탈락하지 않아.둘째, 상대방을 잘 분석해야 해. 플레이어의 스타일을 파악하고, 그들이 어떤 상황에서 어떻게 행동하는지 잘 관찰해. 타이트한 플레이어와 루즈한 플레이어를 구분하고, 그에 맞춰 전략을 바꿔야 해.셋째, 포커의 기본 원칙, 즉 포지션을 잊지 말고 항상 신경 써. 초기 포지션에서는 좀 더 신중하게 플레이하고, 후반 포지션에서는 공격적으로 나가도 좋아. 이렇게 상황에 맞게 변화를 줘야 해.마지막으로, 감정을 잘 다스려야 해. 감정이 격해지면 실수하기 쉬우니까, 침착함을 잃지 않는 게 중요해. 칩이 날아가더라도 차분하게 다음 판을 준비하는 마음가짐이 필요해.이런 팁들을 기억하면서 플레이하면 머니상을 따는 데 큰 도움이 될 거야. 포커의 매력을 느끼면서 즐거운 게임 시간 가져!","동갤러(218.36) 2025.03.21 02:15:54
조회 2586 추천 0 댓글 5",추천 0,조회 2586,2025.03.21 02:15:54,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=83&page=1,0.023004427552223206,0.012535536661744118,0.02109953947365284,0.01717681996524334,0.011248528026044369,0.005814461037516594,0.011743969283998013,0.008968357928097248,0.05189477279782295,0.9226492643356323,0.008920017629861832
디씨하는 동국고생 없노?,,갤러리 활성화 좀 시키자,"동국붕이(115.143) 2025.03.17 23:18:09
조회 167 추천 1 댓글 1",추천 1,조회 167,2025.03.17 23:18:09,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=82&page=1,0.019169693812727928,0.010355151258409023,0.010118025355041027,0.017280399799346924,0.01196740660816431,0.008545102551579475,0.012788827531039715,0.008594512939453125,0.03766973689198494,0.9264463186264038,0.008192693814635277
이런 거,,만들지마세요,"ㅇㅇ 2025.02.25 23:57:38
조회 102 추천 0 댓글 0",추천 0,조회 102,2025.02.25 23:57:38,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=81&page=1,0.0148616386577487,0.008609237149357796,0.009981421753764153,0.012542875483632088,0.009920543991029263,0.007731597870588303,0.013616126962006092,0.00852278247475624,0.05513377487659454,0.9170677065849304,0.0073999143205583096
이런 갤러리 만들지 맙시다!,,이러면 안돼요.,"ㅇㅇ 2025.02.18 20:27:42
조회 155 추천 0 댓글 0",추천 0,조회 155,2025.02.18 20:27:42,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=80&page=1,0.01724398136138916,0.011019675061106682,0.01312206033617258,0.018390865996479988,0.013946736231446266,0.010437081567943096,0.018711861222982407,0.009450076147913933,0.03531196340918541,0.9466109871864319,0.010160345584154129
이런 갤러리 만들지 마세요,,나빠요,"ㅇㅇ 2025.02.16 21:31:20
조회 152 추천 0 댓글 0",추천 0,조회 152,2025.02.16 21:31:20,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=79&page=1,0.01798790693283081,0.010821714997291565,0.011778879910707474,0.017228547483682632,0.012925393879413605,0.010155335068702698,0.016270795837044716,0.00886264257133007,0.034649286419153214,0.9391462206840515,0.009207146242260933
12기 졸업 축하한다!!!!,,"다들 댓글 남겨라
안남기면 서운할 예정","동갤러(118.235) 2025.01.14 00:39:11
조회 192 추천 1 댓글 1",추천 1,조회 192,2025.01.14 00:39:11,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=78&page=1,0.012733367271721363,0.010508708655834198,0.007975161075592041,0.010117256082594395,0.010052928701043129,0.0064713796600699425,0.009327312931418419,0.0072594499215483665,0.08686909079551697,0.8749400973320007,0.006292928010225296
면접좀 도와,,예비15긴데 면접 도움 받는다 선착순,"동갤러(180.230) 2024.12.08 18:23:52
조회 269 추천 0 댓글 1",추천 0,조회 269,2024.12.08 18:23:52,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=77&page=1,0.016106093302369118,0.010987170971930027,0.011728571727871895,0.01865326799452305,0.013893974013626575,0.010655959136784077,0.01797565259039402,0.00909954123198986,0.033309221267700195,0.9422886371612549,0.00941510684788227
가난해서 진보인게 아니라,,진보여서 가난한거다,"동갤러(118.235) 2024.11.25 23:40:14
조회 385 추천 7 댓글 1",추천 7,조회 385,2024.11.25 23:40:14,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=76&page=1,0.01746666617691517,0.010210162959992886,0.00935332290828228,0.020132828503847122,0.014123031869530678,0.009324721992015839,0.017431724816560745,0.010067835450172424,0.03244592621922493,0.9358330368995667,0.008812771178781986
