제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
수원조원고등학교 갤러리가 만들어졌습니다.,[일반],"조원고등학교 나무위키: https://namu.wiki/w/조원고등학교

조원고등학교 인스타: https://www.instagram.com/jowon_highschool/

조원고등학교 홈페이지: https://jowon-h.goesw.kr/index.do


조원 조원 조원고 세계로 나가자 얍","조원고등학교 2024.04.19 19:56:19
조회 458 추천 5 댓글 2",추천 5,조회 458,2024.04.19 19:56:19,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=2&page=1,0.015019883401691914,0.00521463667973876,0.015519944950938225,0.05011681094765663,0.008207317441701889,0.006592466030269861,0.009066661819815636,0.011625376529991627,0.07965127378702164,0.6582246422767639,0.006282553542405367
그립노,[일반],재수중인데 그립노,"06김승담(210.98) 2025.04.02 03:52:48
조회 137 추천 0 댓글 1",추천 0,조회 137,2025.04.02 03:52:48,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=27&page=1,0.01260280329734087,0.008659129962325096,0.01063048280775547,0.013251179829239845,0.012943126261234283,0.008961952291429043,0.01247885450720787,0.008105026558041573,0.052799616008996964,0.9167991876602173,0.007631177082657814
고슴딩가 볼사람?,[일반],딩가딩가딩~ 예이!,"ghostowl 2025.03.11 15:44:41
조회 151 추천 3 댓글 1",추천 3,조회 151,2025.03.11 15:44:41,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=26&page=1,0.014417019672691822,0.009293301962316036,0.008266615681350231,0.013370431959629059,0.013838883489370346,0.010706226341426373,0.013194803148508072,0.008154037408530712,0.04776619374752045,0.919597327709198,0.007423361297696829
조원고 1학년없냐?,[일반],"조원고 신입생 개노잼 확정
목누런 쿨톤들 200명","뽀미(121.136) 2025.03.08 06:30:32
조회 145 추천 0 댓글 4",추천 0,조회 145,2025.03.08 06:30:32,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=25&page=1,0.03214285522699356,0.01269578281790018,0.008070389740169048,0.014475267380475998,0.021723292768001556,0.006035950966179371,0.007224308326840401,0.012365852482616901,0.05049990862607956,0.8632989525794983,0.007294385693967342
모델 지망생인데 얼평좀,[일반],"ㅇㅇ
- dc official App","조붕이(58.230) 2025.03.03 20:36:24
조회 152 추천 1 댓글 1",추천 1,조회 152,2025.03.03 20:36:24,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=24&page=1,0.014747869223356247,0.008208629675209522,0.010164604522287846,0.016097307205200195,0.009572057984769344,0.007253332529217005,0.013432399369776249,0.008133839815855026,0.050566256046295166,0.9146890640258789,0.007100242655724287
조원고 출신 미녀,[일반],우흥.,"조붕이(14.33) 2025.02.18 03:57:39
조회 162 추천 1 댓글 0",추천 1,조회 162,2025.02.18 03:57:39,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=23&page=1,0.018222788348793983,0.013235842809081078,0.01333661936223507,0.022410999983549118,0.014653817750513554,0.011505670845508575,0.020789381116628647,0.009421547874808311,0.028299609199166298,0.9493886232376099,0.010744570754468441
"""어리광 피우지마라""",[일반],세상은 결과다. -노건-,"조붕이(58.230) 2025.02.11 02:34:04
조회 1164 추천 8 댓글 3",추천 8,조회 1164,2025.02.11 02:34:04,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=22&page=1,0.018842726945877075,0.01038065180182457,0.010084477253258228,0.01521923579275608,0.013134158216416836,0.008716895245015621,0.017811845988035202,0.009087278507649899,0.03923948481678963,0.9346433281898499,0.008543478325009346
노브라 공유합니다,[일반],,"조붕이(58.230) 2025.02.08 03:00:33
조회 215 추천 8 댓글 2",추천 8,조회 215,2025.02.08 03:00:33,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=20&page=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
반갑노이기야!조원고새싹이긔,[일반],"나 조원고신입생 애기벌(암컷)인데
잘부탁한다이기~~~만나면 인사좀
해줘라","조붕이(211.207) 2025.01.25 16:55:39
조회 118 추천 0 댓글 3",추천 0,조회 118,2025.01.25 16:55:39,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=18&page=1,0.11375118792057037,0.008862395770847797,0.03307124599814415,0.008336677215993404,0.008810609579086304,0.006073793396353722,0.011702623218297958,0.016406696289777756,0.04356394708156586,0.7419376373291016,0.005943015217781067
수능 2일남음,[일반],6교과 최저러가 간다,"조붕이(211.114) 2024.11.12 15:17:30
조회 111 추천 1 댓글 0",추천 1,조회 111,2024.11.12 15:17:30,https://gall.dcinside.com/mgallery/board/view/?id=jowon&no=15&page=1,0.01635758951306343,0.01025307271629572,0.011432180181145668,0.019637592136859894,0.013937421143054962,0.010184227488934994,0.018643708899617195,0.009076585061848164,0.031422439962625504,0.938996434211731,0.009100152179598808
