제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
광붕이 ㅎㅎ,,"기숙사구나?
급식으로 김이 나왔쪄요?","광갤러(210.120) 2025.07.18 08:17:00
조회 37 추천 0 댓글 0",추천 0,조회 37,2025.07.18 08:17:00,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=284&page=1,0.023735735565423965,0.00785090308636427,0.012520330026745796,0.009258157573640347,0.24044398963451385,0.01317623257637024,0.008474951609969139,0.01703408919274807,0.07304060459136963,0.6388477683067322,0.011533872224390507
안녕하세요 광갤여러분,,저는 응디시티에 살고있는 2025학년 2학년 응디응디입니다.,"응디응디(210.120) 2025.06.27 15:22:46
조회 52 추천 0 댓글 0",추천 0,조회 52,2025.06.27 15:22:46,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=282&page=1,0.01829812489449978,0.009229153394699097,0.01180020160973072,0.017515234649181366,0.012749377638101578,0.011248336173593998,0.015882868319749832,0.008370742201805115,0.03484421595931053,0.9351058006286621,0.008672291412949562
응디시티,,아 노무 기분조좋노,"응디응디(210.120) 2025.06.27 15:19:22
조회 36 추천 0 댓글 0",추천 0,조회 36,2025.06.27 15:19:22,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=281&page=1,0.010540474206209183,0.008247786201536655,0.007496748585253954,0.010249574668705463,0.008245325647294521,0.0063302828930318356,0.009201298467814922,0.007217112462967634,0.133253276348114,0.8404538035392761,0.0057710083201527596
이시발개빡치니까,,"본관 4층 여자 화장실로 와라
자위쇼 보여준다","현무(210.120) 2025.06.24 09:56:55
조회 67 추천 0 댓글 0",추천 0,조회 67,2025.06.24 09:56:55,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=280&page=1,0.18843430280685425,0.018072988837957382,0.011100264266133308,0.007339525036513805,0.0063719493336975574,0.00469625648111105,0.003898713504895568,0.015062742866575718,0.5249239206314087,0.23796723783016205,0.004886096343398094
스파게티에 레몬에이드,,후식은 초콜릿,"정어계 2025.05.26 18:38:28
조회 44 추천 0 댓글 0",추천 0,조회 44,2025.05.26 18:38:28,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=279&page=1,0.018016090616583824,0.011320546269416809,0.012613149359822273,0.01821807585656643,0.013375552371144295,0.008681097999215126,0.016147205606102943,0.008680962026119232,0.03497327119112015,0.9391570687294006,0.008997942321002483
현무니,,애미,"광갤러(210.120) 2025.05.21 09:34:42
조회 34 추천 0 댓글 0",추천 0,조회 34,2025.05.21 09:34:42,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=278&page=1,0.02051609382033348,0.005767990835011005,0.007684377487748861,0.006588273216038942,0.007756968028843403,0.004340576473623514,0.007304413244128227,0.009987090714275837,0.305013507604599,0.5961112976074219,0.004620198160409927
누가 더 유명함 에이브릴 라빈 이니에스타,,- dc official App,"디바(59.28) 2025.05.20 17:05:04
조회 38 추천 0 댓글 0",추천 0,조회 38,2025.05.20 17:05:04,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=277&page=1,0.012841418385505676,0.007844464853405952,0.009920693002641201,0.017234547063708305,0.00868525542318821,0.00734416488558054,0.01353029627352953,0.00821048952639103,0.05770694836974144,0.9080140590667725,0.006885179318487644
똥,,뿌직,"광갤러(210.120) 2025.05.19 08:16:39
조회 56 추천 0 댓글 1",추천 0,조회 56,2025.05.19 08:16:39,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=276&page=1,0.014798568561673164,0.009915996342897415,0.011282811872661114,0.015892887488007545,0.01225501112639904,0.008579833433032036,0.015460765920579433,0.008264739997684956,0.04323980584740639,0.931519091129303,0.008418342098593712
맞딸하자는 애 섹스하러갔냐?,,관전플하려고 했더니 ㅋㅋ,"현무입니다 2025.05.19 07:44:00
조회 67 추천 0 댓글 0",추천 0,조회 67,2025.05.19 07:44:00,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=275&page=1,0.015246681869029999,0.011238385923206806,0.012074995785951614,0.01635007932782173,0.012988168746232986,0.009489074349403381,0.014585237018764019,0.008855500258505344,0.0402868278324604,0.9373636841773987,0.009161446243524551
기숙사 들어가야겠다,,"그럼 학교에서 언제든 섹스 ㄱㄴ이잖아
솔직히 기숙사 애들 공부 좆도 안하는 씹병신 새끼들인데
섹스만 하고 있는거아님?","현무입니다 2025.05.18 17:50:36
조회 59 추천 2 댓글 0",추천 2,조회 59,2025.05.18 17:50:36,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=274&page=1,0.14309288561344147,0.008914888836443424,0.06437215209007263,0.012840383686125278,0.015502075664699078,0.006142451427876949,0.013253660872578621,0.14886412024497986,0.7582882046699524,0.024416079744696617,0.008806154131889343
