제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
영광아 잘생겼다!,,화이팅!!!!,"짝사랑녀(106.101) 2025.07.28 21:06:39
조회 19 추천 0 댓글 0",추천 0,조회 19,2025.07.28 21:06:39,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=164&page=1,0.018321989104151726,0.01437651552259922,0.01481951680034399,0.021236786618828773,0.015291442163288593,0.011830678209662437,0.021687420085072517,0.009677557274699211,0.028846777975559235,0.9523711800575256,0.011935388669371605
"평경에 윤채은 ? 윤채윤 ? 아시는분,,,",,"혹시 평촌 경영고등학교에 윤채은이였나 윤채현 ? 윤희성 ? 뭐 아시는분 있으신가요

부득이하게 정보가 좀 필요해서요 부탁드립니다.","ㅎㅅ(49.172) 2024.12.14 02:04:26
조회 347 추천 2 댓글 3",추천 2,조회 347,2024.12.14 02:04:26,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=156&page=1,0.01764325611293316,0.010740796104073524,0.012116401456296444,0.01904209330677986,0.013927189633250237,0.012968097813427448,0.01793053187429905,0.009227579459547997,0.029240714386105537,0.9411900639533997,0.009608585387468338
아 군대가기 싫다,,"여성 징병제 해라 시밧
프롬프트
a Roh Moo Hyun holding a koala,
네거티브
프롬프트
샘플링 DPM++ 2M Karras
스타일 None
- dc official App","ㅇㅇ(116.121) 2024.11.29 20:59:22
조회 121 추천 0 댓글 2",추천 0,조회 121,2024.11.29 20:59:22,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=155&page=1,0.843291699886322,0.028578072786331177,0.039384156465530396,0.036199901252985,0.01913483813405037,0.009951196610927582,0.010931937955319881,0.08280239254236221,0.02853480540215969,0.17314451932907104,0.011773791164159775
꼬ㅌ튀,,"개심한데 나만그래?
- dc official App","평갤러(118.235) 2024.11.18 02:34:05
조회 197 추천 0 댓글 2",추천 0,조회 197,2024.11.18 02:34:05,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=154&page=1,0.01086921151727438,0.007053938694298267,0.010307244956493378,0.011957390233874321,0.007576107978820801,0.006875460036098957,0.009919002652168274,0.007949203252792358,0.10587459802627563,0.8686834573745728,0.0060451519675552845
평경불합격하고 일반고졸업후 4년제가면 ㅁㅌㅊ?,,ㅁㅌㅊ?,".(211.235) 2024.11.12 00:19:13
조회 315 추천 0 댓글 4",추천 0,조회 315,2024.11.12 00:19:13,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=153&page=1,0.01651061326265335,0.01068879570811987,0.0120258629322052,0.01784469187259674,0.013268915936350822,0.010217244736850262,0.018020983785390854,0.008769300766289234,0.03479768708348274,0.9401882886886597,0.009407340548932552
고졸인 애들은 뭐하고살까,,궁금띠예,"짝사랑녀(211.36) 2024.11.08 03:42:45
조회 174 추천 0 댓글 3",추천 0,조회 174,2024.11.08 03:42:45,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=152&page=1,0.01681259088218212,0.01118205301463604,0.011727451346814632,0.017685463652014732,0.01374204270541668,0.010800175368785858,0.018431123346090317,0.00912459846585989,0.0334666408598423,0.941638171672821,0.009574241936206818
대학 안나온? 못나온? 고졸 현실 알려줄까?,,고졸 니들은 외노자랑 일자리 경쟁해야됨^^,"짝사랑녀(211.36) 2024.10.24 03:53:49
조회 198 추천 0 댓글 0",추천 0,조회 198,2024.10.24 03:53:49,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=151&page=1,0.18444940447807312,0.044588636606931686,0.030922049656510353,0.8355382680892944,0.22234542667865753,0.039478108286857605,0.05509243533015251,0.5229851007461548,0.02417953498661518,0.030720673501491547,0.04416679963469505
후배들아 지금도 늦지 않았다,,"개같은 특성화 전형 버리고 수능 준비해라 수시로
니네가 아무리 평경에서 공부를 잘해도 2~3은 어차피
수안강산, 을평성대 라인 대학 간다. 더 높은 대학 가고 싶으면 수능이 답이 맞다.
만약 수시 쓸 생각이면 지방대쪽 고민도 해보고 입결 확인 잘하고 꼭 평경에서 다니던 과 아니여도 전형 잘 보면 원서 넣기 가능하니깐 이미 입시는 끝났지만 내년에도 고민 해봐
전문대 가서 편입 한다는 생각이면 너넨 어차피 편입 성공해도
전문대 꼬리표는 따라다닌다.
- dc official App","ㅇㅇ 2024.10.24 00:44:36
조회 336 추천 0 댓글 3",추천 0,조회 336,2024.10.24 00:44:36,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=150&page=1,0.038877297192811966,0.007953318767249584,0.016060305759310722,0.016205547377467155,0.010913506150245667,0.019780119881033897,0.006335591431707144,0.12456973642110825,0.1595618575811386,0.2150631695985794,0.007545130327343941
평경 외조과에서 공부 조빠지게 하면 세종대 경희대 이런곳 갈 수 있음?,,내신 185?정도 나오는데 평경가서 경험 쌓으면서 공부하고 좋은 대학교 나와서 유학가고싶은데 ㅇㄸ 이럴바엔 차라리 좃반고 가는게 낫나?,"ㅇㅇ(106.101) 2024.10.22 00:52:18
조회 236 추천 0 댓글 5",추천 0,조회 236,2024.10.22 00:52:18,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=149&page=1,0.013636366464197636,0.005246354267001152,0.01019930187612772,0.010823491029441357,0.009888451546430588,0.008479388430714607,0.010803799144923687,0.019102806225419044,0.1208447813987732,0.7444631457328796,0.006134250201284885
평경 vs 한조고,,성적은 나쁘지 않은데 요리사가 꿈이여서 둘중에 뭐갈지 고민중인데 추천좀,"ㅇㅇ(124.59) 2024.10.20 20:12:53
조회 170 추천 0 댓글 3",추천 0,조회 170,2024.10.20 20:12:53,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=147&page=1,0.019180290400981903,0.00974841509014368,0.011689577251672745,0.016156427562236786,0.011420917697250843,0.008493117988109589,0.01468503475189209,0.00883723795413971,0.03648332133889198,0.9302883148193359,0.008155936375260353
