제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
여기 분위기 어떤가요,,희망학교 써야하는데 분위기가 어떤지 모르겠어요,"백갤러(220.74) 2025.05.27 22:45:31
조회 59 추천 0 댓글 1",추천 0,조회 59,2025.05.27 22:45:31,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=248&page=1,0.016750192269682884,0.009791949763894081,0.012308204546570778,0.01818654127418995,0.013835305348038673,0.010761567391455173,0.018031436949968338,0.009180190972983837,0.03351424261927605,0.9418118596076965,0.009518833830952644
백운고 노브라 유출 ㄷㄷ ㄹㅈㄷ;;,,- dc official App,"ㅇㅇ(175.116) 2025.05.03 15:05:02
조회 180 추천 1 댓글 0",추천 1,조회 180,2025.05.03 15:05:02,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=247&page=1,0.012841418385505676,0.007844464853405952,0.009920693002641201,0.017234547063708305,0.00868525542318821,0.00734416488558054,0.01353029627352953,0.00821048952639103,0.05770694836974144,0.9080140590667725,0.006885179318487644
님들아 나 심심함,,놀아줘,"ㅇㅈㅅㅇ(211.118) 2025.03.09 23:48:18
조회 103 추천 0 댓글 0",추천 0,조회 103,2025.03.09 23:48:18,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=246&page=1,0.015497214160859585,0.007598426192998886,0.010715942829847336,0.011903888545930386,0.012226338498294353,0.006457827053964138,0.01115882582962513,0.00867726095020771,0.06767153739929199,0.9109426140785217,0.007257396355271339
백운고 2학년 ㄱㄷㅎ,,ㅇㅅㄲ 만나면 명존쎄 ㄱㄱ,"ㅇㅈㅅㅇ(211.118) 2025.03.09 23:45:44
조회 165 추천 0 댓글 2",추천 0,조회 165,2025.03.09 23:45:44,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=245&page=1,0.016751306131482124,0.016654307022690773,0.01715872809290886,0.011099112220108509,0.011470532044768333,0.009214548394083977,0.012177727185189724,0.02221793122589588,0.9144823551177979,0.07649555802345276,0.008598226122558117
ㅎㅇ,,ㅎㅇ,"0126h 2025.01.27 04:22:57
조회 77 추천 1 댓글 1",추천 1,조회 77,2025.01.27 04:22:57,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=243&page=1,0.01872275024652481,0.012050434947013855,0.012875808402895927,0.020207524299621582,0.014764944091439247,0.011758506298065186,0.019233793020248413,0.00927744060754776,0.02993927337229252,0.947363018989563,0.010660217143595219
개미는 개미인데 아픈 개미는?,,느개미다 시발럼아 나 음민호다 ㅈ같으면 ㅆㅈ들어와라,"백갤러(182.225) 2025.01.23 02:01:12
조회 96 추천 0 댓글 4",추천 0,조회 96,2025.01.23 02:01:12,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=242&page=1,0.027506712824106216,0.014960002154111862,0.025158783420920372,0.022722944617271423,0.006949137430638075,0.008051770739257336,0.012264798395335674,0.02918025478720665,0.903326153755188,0.042347248643636703,0.007242507301270962
오시온선생님 사랑합니다.,,"오시온선생님 사랑합니다.
학생들에게 진법변환을 알려주실 때 하나하나 자세하게 설명하시고 진법변환을 모르는 친구들에게  친절하게 설명해주셔서 감사합니다.
저도 진법변환이라는 걸 몰랐는데 오시온선생님때문에 진법변환의 개념을 알았습니다.
수업시간에 오시온선생님께서 학생들에게 진법변환을 친절하게 알려주시고 10진수를 2진수로 변환할때 왜 이렇게 되는지 증명도 해주셔서 너무 감동받았습니다.
저는 오시온 선생님한테 정보과학이랑 정보윤리랑 진법변환(10진수에서 2진수로 변환하는 방법,2진수에서 10진수로 변환하는 방법, 2진수에서 8지수로 변환하는 방법,8진수에서 2진수로 변환하는 방법, 2진수에서 8진수로 변환하는 방법,
8진수에서 2진수로 변환하는 방법, 8진수에서 16진수로 변환하는 방법
16진수에서 8진수로 변환하는 방법)의 개념을 배웠습니다.
오시온선생님때문에 정보과학이랑 정보윤리랑 진법변환의 개념및 활용을 알았습니다.
오시온선생님이 진법변환수업을 해주실때 이해가 잘되고 머리속에 기억이 남습니다.
오시온 선생님 사랑합니다.","백갤러(58.29) 2025.01.05 13:50:40
조회 89 추천 0 댓글 1",추천 0,조회 89,2025.01.05 13:50:40,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=240&page=1,0.01949208602309227,0.011589733883738518,0.026196947321295738,0.017962703481316566,0.012494729831814766,0.00941700953990221,0.01658559963107109,0.01118761207908392,0.041941773146390915,0.9261507987976074,0.010318812914192677
아아아어어,,- dc official App,"ㅇㅇ(211.234) 2025.01.04 18:15:22
조회 30 추천 0 댓글 0",추천 0,조회 30,2025.01.04 18:15:22,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=238&page=1,0.012841418385505676,0.007844464853405952,0.009920693002641201,0.017234547063708305,0.00868525542318821,0.00734416488558054,0.01353029627352953,0.00821048952639103,0.05770694836974144,0.9080140590667725,0.006885179318487644
백운고 03년생들아 올해는 꼭 잘해서 뜨거라,,"ㅇㅇ
- dc official App","03백붕(118.235) 2024.11.10 15:24:48
조회 132 추천 0 댓글 2",추천 0,조회 132,2024.11.10 15:24:48,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=237&page=1,0.014747869223356247,0.008208629675209522,0.010164604522287846,0.016097307205200195,0.009572057984769344,0.007253332529217005,0.013432399369776249,0.008133839815855026,0.050566256046295166,0.9146890640258789,0.007100242655724287
님들은 진지하게 육사 붙으면 갈거임?,,생각 좀 들어볼게요,"ㅇㅇ(223.38) 2024.11.06 12:16:24
조회 88 추천 0 댓글 1",추천 0,조회 88,2024.11.06 12:16:24,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=235&page=1,0.015968777239322662,0.010310223326086998,0.011915482580661774,0.014824201352894306,0.012807441875338554,0.009526943787932396,0.016386836767196655,0.008334060199558735,0.03949768841266632,0.9353011250495911,0.008970210328698158
