제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
호날두,,,"삼공조아 2025.07.09 22:44:50
조회 50 추천 0 댓글 0",추천 0,조회 50,2025.07.09 22:44:50,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=498&page=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인생이 재미없노,,ㅈㄱㄴ,"삼공조아 2025.07.07 18:45:32
조회 58 추천 0 댓글 0",추천 0,조회 58,2025.07.07 18:45:32,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=496&page=1,0.015288252383470535,0.0078034596517682076,0.007240530103445053,0.010706281289458275,0.00846381951123476,0.0058243172243237495,0.008594240993261337,0.007808264810591936,0.11756285279989243,0.8577133417129517,0.005800685845315456
누가 더 유명함 일론머스크 네이마르,,- dc official App,"디바(59.28) 2025.07.03 23:56:08
조회 49 추천 0 댓글 1",추천 0,조회 49,2025.07.03 23:56:08,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=494&page=1,0.012841418385505676,0.007844464853405952,0.009920693002641201,0.017234547063708305,0.00868525542318821,0.00734416488558054,0.01353029627352953,0.00821048952639103,0.05770694836974144,0.9080140590667725,0.006885179318487644
똥싸고,,물좀 내려 ㅅㅂㄹㄷㅇ,"삼공조아 2025.06.30 08:29:17
조회 58 추천 0 댓글 0",추천 0,조회 58,2025.06.30 08:29:17,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=490&page=1,0.021625712513923645,0.014508862048387527,0.014969835057854652,0.01064407266676426,0.011411832645535469,0.011102945543825626,0.012969691306352615,0.025938870385289192,0.9196215271949768,0.06370082497596741,0.008387061767280102
시험문제 알아내는법 알려준다,,ㅈㄱㄴ,"삼공조아 2025.06.29 12:54:39
조회 78 추천 0 댓글 0",추천 0,조회 78,2025.06.29 12:54:39,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=489&page=1,0.015288252383470535,0.0078034596517682076,0.007240530103445053,0.010706281289458275,0.00846381951123476,0.0058243172243237495,0.008594240993261337,0.007808264810591936,0.11756285279989243,0.8577133417129517,0.005800685845315456
수시 개꿀팁 알려준다,,질문받는다,"삼공조아 2025.06.26 09:39:45
조회 62 추천 0 댓글 0",추천 0,조회 62,2025.06.26 09:39:45,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=487&page=1,0.01509020198136568,0.009587883949279785,0.010601039044559002,0.015399748459458351,0.012281573377549648,0.008824512362480164,0.014843959361314774,0.008886247873306274,0.04423246160149574,0.9316221475601196,0.00836101546883583
실습실컴으로,,채굴햇엇다고?ㅋㅋㅋ,"삼공조아 2025.06.25 00:28:26
조회 72 추천 0 댓글 0",추천 0,조회 72,2025.06.25 00:28:26,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=486&page=1,0.016097210347652435,0.009949563071131706,0.011308298446238041,0.015875475481152534,0.011429199948906898,0.008952759206295013,0.015069494023919106,0.008654866367578506,0.0398467481136322,0.9313539266586304,0.008332917466759682
체육대회 찬/반,,ㅇㄴ ㅆㅂ ㅋㅋ 체육대회 반대하는놈들은 뭐냐 ㅋㅋ 확 갖다 운동장에 꽂아벌라 안할거면 운동장에 찌그러져 있으세요,"삼갤러(211.234) 2025.06.24 08:49:07
조회 66 추천 1 댓글 0",추천 1,조회 66,2025.06.24 08:49:07,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=484&page=1,0.021085059270262718,0.018710019066929817,0.020234208554029465,0.009737773798406124,0.016787128522992134,0.007985207252204418,0.011758876964449883,0.045918527990579605,0.8911768794059753,0.03514423966407776,0.008062941953539848
ㅎㅇ,,ㅎㅇ,"삼공조아 2025.06.17 08:34:25
조회 82 추천 0 댓글 1",추천 0,조회 82,2025.06.17 08:34:25,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=475&page=1,0.01872275024652481,0.012050434947013855,0.012875808402895927,0.020207524299621582,0.014764944091439247,0.011758506298065186,0.019233793020248413,0.00927744060754776,0.02993927337229252,0.947363018989563,0.010660217143595219
2026 신입생은 꼭 봐라,,"삼일공고는 학생한테 사전투표를 강요하는 학교다

알아서 생각하고 

공고는 수원공고가 더 좋다 게이들아

여기오지마라 차라리 도박을 해라 

-현재 재학생임-","삼갤러(211.114) 2025.05.29 11:41:20
조회 188 추천 5 댓글 1",추천 5,조회 188,2025.05.29 11:41:20,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=468&page=1,0.014321897178888321,0.0052527436055243015,0.21099819242954254,0.010245409794151783,0.009479272179305553,0.010748113505542278,0.008276845328509808,0.014488736167550087,0.10183440148830414,0.6126368045806885,0.008813632652163506
ㅎㅇ,,ㅎㅇ,"삼갤러(106.240) 2025.05.19 15:38:00
조회 110 추천 0 댓글 1",추천 0,조회 110,2025.05.19 15:38:00,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=466&page=1,0.01872275024652481,0.012050434947013855,0.012875808402895927,0.020207524299621582,0.014764944091439247,0.011758506298065186,0.019233793020248413,0.00927744060754776,0.02993927337229252,0.947363018989563,0.010660217143595219
꼭 봐라,,"도대체 반에서 애정행각 왜 하는거냐 

남한테 지들 하는 거 보여주는 걸 좋아하는거임?","삼갤러(211.234) 2025.05.15 17:39:49
조회 229 추천 10 댓글 1",추천 10,조회 229,2025.05.15 17:39:49,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=465&page=1,0.041184715926647186,0.01363362092524767,0.029281780123710632,0.005698375403881073,0.005694007966667414,0.002878357656300068,0.006190302316099405,0.014353704638779163,0.5645215511322021,0.3503471314907074,0.005147895775735378
학생회 해채 안하냐,,줄을 존나게도 못 새워요 ㅋㅌ 하여간 돌아가는 꼴이 ㅋㅋ,"삼갤러(118.235) 2025.05.15 12:21:04
조회 157 추천 1 댓글 1",추천 1,조회 157,2025.05.15 12:21:04,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=464&page=1,0.011893175542354584,0.009259308688342571,0.00862576812505722,0.009134308435022831,0.00756059680134058,0.0075725382193923,0.008120306767523289,0.017679749056696892,0.7657460570335388,0.24119098484516144,0.006129560060799122
