제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
서천고 2학년 ㅂㅇㅅ,,"서천고 2학년 2반에 백ㅇ산이라고 있지 않음??
그 친구 축구 잘하지도 않는데 왜케 나대는거임??????? 진짜 못 봐주겠다
정신 좀 차리라고 하셈.. 진심 살면서 공 3번 차본 내가 한 한달만 하면 훨 잘할 듯 ㄹㅇㅋㅋ","서갤러(125.138) 2025.06.22 16:38:34
조회 61 추천 2 댓글 1",추천 2,조회 61,2025.06.22 16:38:34,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=33&page=1,0.024771777912974358,0.011396882124245167,0.011849178932607174,0.0068420241586863995,0.008281998336315155,0.006918034516274929,0.008586898446083069,0.02977415919303894,0.8547548055648804,0.14637970924377441,0.006415971554815769
나 2학년 선효빈인데,,맞짱 신청받는다 2학년 1반으로와라,"서갤러(210.182) 2025.06.10 13:39:55
조회 64 추천 1 댓글 1",추천 1,조회 64,2025.06.10 13:39:55,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=32&page=1,0.016122717410326004,0.010562711395323277,0.011406771838665009,0.01800343208014965,0.013933044858276844,0.010619986802339554,0.017576511949300766,0.009123054333031178,0.03440168499946594,0.9404245615005493,0.00922489445656538
티비위키 사용 후기와 화질 비교,,"요즘 티비위키로 드라마 정주행하는 사람이 많더라. 나도 한 번 써봤는데, 진짜 편하더라. 예전에는 이런 정보 찾으려고 여기저기 검색하는 것도 일이었는데, 티비위키 덕에 한 방에 해결돼서 시간 절약이 장난 아니야. 근데 화질 부분은 좀 아쉽더라. 가끔씩 화질이 떨어지는 경우가 있긴 한데, 뭐 그 정도는 감수할만하지 않겠어? 특히 요즘 핫한 드라마들 정보 정리도 빠르고, 덕분에 몰입해서 볼 수 있더라고. 다른 사람들은 어떻게 느꼈는지 궁금한데, 혹시 나만 이런가? 티비위키 덕분에 더 많은 드라마를 시간 낭비 없이 즐길 수 있어서 개인적으로는 만족 중!","서갤러(61.250) 2025.01.16 09:27:57
조회 3811 추천 0 댓글 0",추천 0,조회 3811,2025.01.16 09:27:57,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=31&page=1,0.020435050129890442,0.010565613396465778,0.01180577464401722,0.018682580441236496,0.012522400356829166,0.007816040888428688,0.013544413261115551,0.008294912055134773,0.04032197222113609,0.9321935176849365,0.008188099600374699
3학년 김은우 찾아와라,,맞짱깔라 나 장애인이라 너내 나 못건드릴다,"김은우(58.232) 2024.08.18 23:02:27
조회 322 추천 2 댓글 5",추천 2,조회 322,2024.08.18 23:02:27,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=29&page=1,0.05830720439553261,0.008608268573880196,0.010490383952856064,0.006913881748914719,0.008219712413847446,0.005323626101016998,0.006741113029420376,0.03269555792212486,0.24230533838272095,0.665764331817627,0.006582150235772133
나 서천고 교장 이병준이다,,"나 서천고 교장 이병준인데 병준아 ㅅㅂ 정신좀 차리자 왜 ㅅㅂ 방학이 이렇게 짧아 ㅅㅂ 이게맞냐? 좀 정신좀 차려라
- dc official App","서갤러(1.245) 2024.08.12 21:01:22
조회 210 추천 1 댓글 1",추천 1,조회 210,2024.08.12 21:01:22,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=28&page=1,0.025008508935570717,0.012228586710989475,0.019064586609601974,0.01606021635234356,0.01276467926800251,0.015485178679227829,0.017308998852968216,0.07920528203248978,0.9050487279891968,0.02980818785727024,0.00941769964993
서고갤 ㅈ노잼이노,,직갤로 와라,"서갤러(118.235) 2024.06.26 21:53:07
조회 232 추천 0 댓글 2",추천 0,조회 232,2024.06.26 21:53:07,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=26&page=1,0.015517030842602253,0.009891798719763756,0.010007370263338089,0.017020178958773613,0.012880227528512478,0.010108535178005695,0.01601378060877323,0.008413748815655708,0.03735172376036644,0.9315649271011353,0.008357711136341095
나 서천고 1학년 1반 윤영호인데,,"서여고여자 먹고싶다
- dc official App","서갤러(180.81) 2024.06.17 09:31:05
조회 228 추천 0 댓글 0",추천 0,조회 228,2024.06.17 09:31:05,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=25&page=1,0.5766767263412476,0.013797388412058353,0.025744525715708733,0.031316664069890976,0.01052136905491352,0.023044321686029434,0.01094383466988802,0.015535753220319748,0.024875260889530182,0.5625578761100769,0.008873246610164642
나 서천고 나용현인데,,아무여자나 따먹고싶다 뚱녀도 가능이다,"보딩고지 2024.06.12 11:23:07
조회 262 추천 3 댓글 2",추천 3,조회 262,2024.06.12 11:23:07,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=24&page=1,0.9090478420257568,0.013679642230272293,0.033120930194854736,0.04441465064883232,0.01575750857591629,0.016091635450720787,0.01200817059725523,0.03320233151316643,0.08170726895332336,0.0853906124830246,0.011320685036480427
Me too,,내가 대신 쳐줄까??,"김*훈(180.81) 2024.04.12 10:27:28
조회 158 추천 0 댓글 0",추천 0,조회 158,2024.04.12 10:27:28,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=21&page=1,0.01259780116379261,0.007852611131966114,0.009943818673491478,0.007653747219592333,0.006822691764682531,0.004608163610100746,0.007327927276492119,0.008161067962646484,0.3300148546695709,0.67286217212677,0.0052739521488547325
아지금수업중인데집가서빨리치고싶다,,품번공유해줘라,"신ㄱ(106.101) 2024.04.12 10:26:30
조회 292 추천 2 댓글 1",추천 2,조회 292,2024.04.12 10:26:30,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=20&page=1,0.015235302038490772,0.010107075795531273,0.010899562388658524,0.020080404356122017,0.01230897568166256,0.008878905326128006,0.016925986856222153,0.008845795877277851,0.03770563006401062,0.9377065300941467,0.00902697816491127
내고추빨사람,,함 대줄게,"김*훈(180.81) 2024.04.12 10:15:23
조회 224 추천 0 댓글 0",추천 0,조회 224,2024.04.12 10:15:23,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=18&page=1,0.013769833371043205,0.008538071997463703,0.008281594142317772,0.0072859241627156734,0.007960730232298374,0.0046813334338366985,0.008195758797228336,0.008311230689287186,0.2065277397632599,0.7671279907226562,0.005343613680452108
고추빨고싶다,,.,"신ㄱ(106.101) 2024.04.12 10:13:21
조회 184 추천 4 댓글 0",추천 4,조회 184,2024.04.12 10:13:21,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=17&page=1,0.016272153705358505,0.01056507509201765,0.012162142433226109,0.01787913218140602,0.013169482350349426,0.009789579547941685,0.01716236211359501,0.009079458191990852,0.03682119771838188,0.9399781823158264,0.009453335776925087
ㅆㅂㅋㅋㅋㅋㅋㅋㅋ있노,,,"결혼할거라고 2024.03.03 20:06:24
조회 199 추천 0 댓글 0",추천 0,조회 199,2024.03.03 20:06:24,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=12&page=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한기대 소개합니다,,한기대 추천합니다,"서갤러(119.67) 2024.02.25 18:56:47
조회 179 추천 0 댓글 0",추천 0,조회 179,2024.02.25 18:56:47,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=11&page=1,0.016576876863837242,0.012333184480667114,0.013925297185778618,0.02037929557263851,0.014871072955429554,0.011815776117146015,0.021501852199435234,0.009090551175177097,0.029213473200798035,0.9473825097084045,0.010791737586259842
나 순자다,,ㅂㅈ 가렵네 ㅋㅋ 누가 쑤셔줄사람 ㅋㅋㅋ,"순자(222.236) 2023.08.09 07:04:49
조회 278 추천 0 댓글 0",추천 0,조회 278,2023.08.09 07:04:49,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=9&page=1,0.041647594422101974,0.01199790183454752,0.010990948416292667,0.006489699240773916,0.0052115460857748985,0.004546310752630234,0.006340423598885536,0.009119262918829918,0.2058732956647873,0.7504008412361145,0.005003773141652346
응니애미,,ㅋ,"ㅇㅇ(222.236) 2023.08.09 07:02:27
조회 225 추천 0 댓글 0",추천 0,조회 225,2023.08.09 07:02:27,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=7&page=1,0.016251910477876663,0.01059072557836771,0.011912417598068714,0.018628038465976715,0.013531276024878025,0.009961698204278946,0.017621343955397606,0.00925212912261486,0.03566645830869675,0.9413513541221619,0.009540343657135963
기숙사에인터넷,,보안망이슈때문에 기숙사 랜선못쓰니까 학교에서 터지는 wi_cne_class_S 확장시켜서 쓰면 그거학생망이니까 괜찮은거맞겠지 뭐,"Wi-Fi 2023.07.05 22:49:58
조회 477 추천 0 댓글 0",추천 0,조회 477,2023.07.05 22:49:58,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=6&page=1,0.017211711034178734,0.00992306787520647,0.013385857455432415,0.018690895289182663,0.011502601206302643,0.008506016805768013,0.014931772835552692,0.008852453902363777,0.03545846790075302,0.9327006340026855,0.00852133147418499
자동으로 개추가 눌리는 짤,,ㄴㅁㅊ,"ㅇㅇ(39.7) 2023.07.03 09:03:14
조회 518 추천 16 댓글 2",추천 16,조회 518,2023.07.03 09:03:14,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=5&page=1,0.01695159263908863,0.00953864399343729,0.010354472324252129,0.016027867794036865,0.012088307179510593,0.008972538635134697,0.014994260855019093,0.008362394757568836,0.04094044491648674,0.9295134544372559,0.008300225250422955
서천고 1학년 수준,,수준,"진로(39.7) 2023.06.27 12:00:22
조회 710 추천 1 댓글 3",추천 1,조회 710,2023.06.27 12:00:22,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=4&page=1,0.011011487804353237,0.0064585404470562935,0.008093654178082943,0.009678696282207966,0.01014338806271553,0.007044866681098938,0.011099500581622124,0.008921598084270954,0.10447818785905838,0.8573452234268188,0.006093959324061871
이제,,여기로 1학년 안오냐?,"Alpha_Alf_Layla 2023.06.27 11:35:48
조회 262 추천 0 댓글 1",추천 0,조회 262,2023.06.27 11:35:48,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=3&page=1,0.014476186595857143,0.00964231789112091,0.0117643466219306,0.017529519274830818,0.014025291427969933,0.011307642795145512,0.01748013123869896,0.008904626592993736,0.03621414303779602,0.9377627968788147,0.009243958629667759
나 서고 교장인데,,서여고 학생 맛있겠노,"이병준(223.39) 2023.06.27 10:02:11
조회 640 추천 9 댓글 3",추천 9,조회 640,2023.06.27 10:02:11,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=2&page=1,0.01941770501434803,0.011980944313108921,0.013689111918210983,0.01415407657623291,0.014985756017267704,0.01955597847700119,0.01456174161285162,0.011093204841017723,0.029888834804296494,0.9285207986831665,0.009738062508404255
서천고 갤러리 시작,,자유,"서천고(175.203) 2023.06.27 00:04:37
조회 480 추천 0 댓글 2",추천 0,조회 480,2023.06.27 00:04:37,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=1&page=1,0.01619771122932434,0.009828370995819569,0.013833302073180676,0.01571064628660679,0.012028326280415058,0.008612037636339664,0.016565345227718353,0.008867050521075726,0.03854529187083244,0.9339759945869446,0.00897251721471548
